"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Enhancer","IsSingleNode","Methylation_score","name","NeighborhoodConnectivity","nes","NR_R_logFC","NR_R_P.Value","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Promoter","pval","pval.fdr","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"16","2.2045454545454546","0.1935688049324413","0.4536082474226804","0.10294117647058823","19","5","0.052704411144597","false","0.147395946295243","HIF1A","6.117647058823529","1.81012936039666","0.0474518198757785","0.81872854413841","0","19","2","0.0946915351506456","0.0702757288515468","0.95305676175144","0.9536713286713288","false","0","HIF1A","146","3306","0.10294117647058823"
"16","3.1136363636363638","0.004010548838135046","0.32116788321167883","0.0","2","5","0.0515873015873016","false","0.123015873015873","PLIN1","10.5",,"-1.65633386086957","0.0433030480377257","0","2","0","0.0714285714285714",,,"0.9187062937062938","false","0","PLIN1",,"108","0.5277777777777778"
"16","3.090909090909091","0.014154475792406827","0.3235294117647059","0.3333333333333333","3","5","0.0272222222222222","false","0.0613131313131313","AHRR","8.333333333333334",,"0.750104675556772","0.079336572921244","0","3","0","0.0340909090909091",,,"0.9195804195804196","false","0","AHRR",,"200","0.42105263157894735"
"16","3.340909090909091","0.0","0.29931972789115646","0.0","1","6","0.0","false","0.0","FOXH1","14.0",,"2.1413423447205","8.11976754028388E-4","0","1","0","0.0",,,"0.909965034965035","false","0","FOXH1",,"0","0.0"
"16","2.5","0.07736415882967605","0.4","0.19047619047619047","7","5","0.0524602768269745","false","0.180932291086394","ID2","10.142857142857142",,"-2.35463188198758","0.00861460509082687","0","7","0","0.128472014259419",,,"0.9423076923076923","false","0","ID2",,"1156","0.20972644376899696"
"16","4.181818181818182","0.0","0.2391304347826087","0.0","1","6","0.0327830024381748","false","0.175640145295318","SIX4","6.0",,"-1.64965260434783","0.033437312476484","0","1","0","0.142857142857143",,,"0.8776223776223777","false","0","SIX4",,"0","0.0"
"16","3.159090909090909","0.0","0.31654676258992803","0.0","1","5","0.0","false","0.0","CYP4A11","18.0",,"1.23086621913043","0.0715474241521647","0","1","0","0.0",,,"0.9169580419580419","false","0","CYP4A11",,"0","0.0"
"16","3.1931818181818183","0.0","0.31316725978647686","0.0","2","6","0.0653624574829932","false","0.0927597177569658","ANGPT2","17.0",,"1.7081616039272","0.0398509699898294","0","2","1","0.0273972602739726",,,"0.9156468531468531","false","0","ANGPT2",,"0","0.0"
"16","2.977272727272727","0.022727272727272728","0.33587786259541985","0.0","2","6","0.333333333333333","false","0.384180790960452","ETV4","13.5","0.534453772632471","0.777837768757763","0.0301200810294757","0","2","0","0.0508474576271186","0.593027624256985","0.95305676175144","0.923951048951049","false","0","ETV4","15","234","0.5"
"16","3.0","0.0","0.3333333333333333","0.0","1","6","0.3","false","0.315151515151515","PRTN3","26.0",,"-3.03772319627329","0.0468578818073229","0","1","0","0.0151515151515152",,,"0.9230769230769231","false","0","PRTN3",,"0","0.0"
"16","3.477272727272727","0.0","0.28758169934640526","0.0","1","5","0.0","false","0.189189189189189","PKLR","9.0",,"-2.49573973068323","0.0650727313181956","0","1","0","0.189189189189189",,,"0.9047202797202798","false","0","PKLR",,"0","0.0"
"16","2.1136363636363638","0.2402111690121095","0.47311827956989244","0.0915032679738562","18","4","0.0599372859308057","false","0.171048397041917","CREB1","6.0","1.76525988490614","0.127938248447206","0.275289525349605","0","18","0","0.111111111111111","0.0775200981457595","0.95305676175144","0.9571678321678322","false","0","CREB1","74","3896","0.09770114942528736"
"16","3.4431818181818183","0.0","0.2904290429042904","0.0","1","6","0.0792914653784219","false","0.0792914653784219","ASCL3","5.0",,"2.25519354658385","0.00860426943148188","0","1","0","0.0",,,"0.9060314685314684","false","0","ASCL3",,"0","0.0"
"16","3.772727272727273","0.0013061650992685476","0.2650602409638554","0.0","2","6","0.134011994949495","false","0.200593300967421","SNAI3","4.0",,"-1.93907268074534","0.0773856810948079","0","2","0","0.0665813060179257",,,"0.8933566433566433","false","0","SNAI3",,"14","0.5"
