"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Enhancer","IsSingleNode","Methylation_score","name","NeighborhoodConnectivity","nes","NR_R_logFC","NR_R_P.Value","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Promoter","pval","pval.fdr","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"3.348901098901099","0.002654107716159568","0.29860541427399506","0.3","5","7","0.0398724082934609","false","0.539872408293461","NPAS2","18.2",,"2.15471907981366","0.085388946162942","0","5","0","0.5",,,"0.946615884115884","false","0","NPAS2",,"2560","0.284375"
"2.89010989010989","0.03847259645146717","0.34600760456273766","0.18333333333333332","19","6","0.0419591259261921","false","0.0877707017150915","IL2","16.0",,"1.05021245962733","0.0345977159282249","0","19","3","0.0458115757888994",,,"0.957042957042957","false","0","IL2",,"27718","0.12648809523809523"
"3.2554945054945055","0.01755540180805664","0.3071729957805907","0.19047619047619047","7","7","0.0524602768269745","false","0.180932291086394","ID2","15.142857142857142",,"-2.35463188198758","0.00861460509082687","0","7","0","0.128472014259419",,,"0.9487387612387613","false","0","ID2",,"6788","0.19047619047619047"
"3.42032967032967","0.021771146000087397","0.2923694779116466","0.17857142857142858","9","6","0.0714285714285714","false","0.201863354037267","NR5A1","9.25","1.72502474890453","0.271843104347826","0.749856422725092","0","9","1","0.130434782608696","0.0845230124835158","0.95305676175144","0.9449925074925075","false","0","NR5A1","15","9646","0.16898148148148148"
"3.1923076923076925","0.05014439521855371","0.3132530120481927","0.2222222222222222","11","6","0.0622881355932203","false","0.084222333000997","RUNX1","11.8","2.42809250538738","0.246158857142859","0.420457931772079","0","11","1","0.0219341974077767","0.0151784712749892","0.644462219024405","0.9501748251748251","false","0","RUNX1","21","24284","0.15064935064935064"
"2.782967032967033","0.1099512114951565","0.35932872655478776","0.12631578947368421","20","6","0.0245785440613027","false","0.160728778803087","MAPK11","13.75",,"3.36128291366459","0.0020696640652337","0","20","0","0.136150234741784",,,"0.9594780219780219","false","0","MAPK11",,"63642","0.08653846153846154"
"3.35989010989011","0.050538812542358","0.29762878168438267","0.14285714285714285","8","7","0.0","false","0.0","CAMK2A","8.0",,"2.08149284037267","0.037105923208045","0","8","0","0.0",,,"0.9463661338661339","false","0","CAMK2A",,"25024","0.15"
"3.162087912087912","3.645656808233326E-4","0.31624674196351","0.8333333333333334","4","6","0.0283687943262411","false","0.171225937183384","VEGFC","34.5",,"-1.0463906010559","0.0478760502566668","0","4","0","0.142857142857143",,,"0.9508616383616384","false","0","VEGFC",,"872","0.359375"
"2.7225274725274726","0.08928083321153053","0.36730575176589303","0.10507246376811594","27","6","0.0439393939393939","false","0.210606060606061","SMAD3","13.125","2.93762466227744","0.162079354037267","0.206532470302508","0","27","3","0.166666666666667","0.00330737171671985","0.390269862572942","0.9608516483516483","false","0","SMAD3","33","57662","0.0825268817204301"
"3.6043956043956045","3.8009128918219825E-4","0.27743902439024387","0.0","2","7","0.0693353176208711","false","0.134298371808063","NPC1","19.5",,"-1.59837645776398","0.0844639618511511","0","2","0","0.0649630541871921",,,"0.9408091908091908","false","0","NPC1",,"232","0.5285714285714286"
"3.5054945054945055","0.0","0.2852664576802508","1.0","2","7","0.115384615384615","false","0.145484949832776","ETV3","32.5",,"-2.04914437267081","0.00854556774570161","0","2","0","0.0301003344481605",,,"0.9430569430569431","false","0","ETV3",,"0","0.5803571428571429"
"3.1758241758241756","0.016167380305444127","0.314878892733564","0.26666666666666666","6","6","0.0375139353400223","false","0.137513935340022","NR4A3","22.166666666666668",,"-1.14873563602484","0.0829147252695194","0","6","0","0.1",,,"0.9505494505494506","false","0","NR4A3",,"10984","0.23581560283687944"
