"Gene","Promoter","Enhancer","Methylation_score","NR_R_logFC","NR_R_P.Value","R_REL_logFC","R_REL_P.Value","OR_R_logFC","OR_R_P.Value","NR_OR_logFC","NR_OR_P.Value"
"A1BG",0,0,0,1.44539901540254,0.00627943729502158,-1.04044172518295,0.0958546981052904,1.51195066674774,0.0103325460202561,-0.0665516513451982,0.877487085521492
"A1CF",0,0,0,0.500093416034045,0.157374639943013,-0.074289803699533,0.850985098276587,0.288068678182515,0.463676637110455,0.21202473785153,0.476787811120323
"A2BP1",0,0,0,-0.125351148294926,0.805279427709256,0.53637731976118,0.35246929721739,-0.604602288793479,0.291103929783128,0.479251140498553,0.269986459047782
"A2LD1",0,0,0,1.19278510244201,0.0724536076633886,-1.14889106331342,0.124288515746177,0.515565363082201,0.481888572297565,0.67721973935981,0.225464961069097
"A2M",0.136290322580645,0.00248138957816377,0.138771712158809,2.3629345968789,0.0015596606250466,-2.23949252453964,0.00722568137025519,1.96538441492084,0.016245430820192,0.397550181958061,0.509498689861058
"A2ML1",0.114130434782609,0.00334448160535117,0.11747491638796,0.526164968015652,0.458724111631073,0.159838987719378,0.846337179310587,0.559540622547632,0.481629145146203,-0.0333756545319801,0.955738212882033
"A4GALT",0,0,0,-2.8611239475696,0.0463956928885186,0.550800454119099,0.729131666778272,0.429506863593593,0.785233026784949,-3.2906308111632,0.00796832262859016
"A4GNT",0,0,0,0.0695605670561008,0.939626213648584,-1.40694917072926,0.179192369783983,1.25199719745806,0.227122723879389,-1.18243663040196,0.134074125395768
"AAA1",0,0,0,0.0560044858023003,0.631356395739537,-0.074289803699533,0.572952540593711,0.00606483466723606,0.962954575430936,0.0499396511350643,0.614437527946767
"AAAS",0.125,0.0857117809571827,0.210711780957183,0.0229220552674532,0.916129617130247,-0.0576699527881059,0.814604678364215,0.226981237277876,0.353986148115845,-0.204059182010423,0.272631843863671
"AACS",0.277777777777778,0.0833333333333333,0.361111111111111,0.215638754666659,0.426591790600832,-0.199340835262504,0.515694003399542,0.00606483466723429,0.9840194963079,0.209573919999425,0.363395796451469
"AACSL",0,0,0,0.581126460328308,0.0174305502248324,-0.719700181357191,0.00960260041873293,0.637536947191355,0.0197323613797828,-0.0564104868630473,0.779543930460687
"AADAC",0.000666222518321119,0.0355293440736479,0.036195566591969,0.113738768188225,0.423186111794509,-0.0742898036995356,0.642366104889926,0.00606483466723606,0.969482788331655,0.107673933520989,0.372355340583305
"AADACL2",0,0,0,0.102366801439461,0.8258059098184,-0.475039047745612,0.370047249408026,-0.249766312365227,0.631961464900525,0.352133113804688,0.374540708985975
"AADACL3",0.0526315789473684,0,0.0526315789473684,0.526536348807965,0.0954348599607761,-0.0742898036995356,0.832670105716313,0.00606483466723606,0.986117127211269,0.520471514140729,0.053479995666147
"AADACL4",0,0.0262784090909091,0.0262784090909091,0.213490730398755,0.37109052429792,-0.074289803699533,0.782092130732161,0.00606483466723606,0.981825032176552,0.207425895731519,0.306792481803336
"AADAT",0.0178571428571429,0,0.0178571428571429,-1.61532483494152,0.19044639406695,2.45652689346267,0.0805594356979271,-0.380718579538493,0.781096448323275,-1.23460625540303,0.237873429721484
"AAGAB",0.0263157894736842,0.0512820512820513,0.0775978407557355,-0.0816250337640634,0.567591229793923,0.0516349204720017,0.75171139897087,0.0223171545902403,0.888853445679297,-0.103942188354304,0.392398823279101
"AAK1",0.25,0,0.25,0.131622099348114,0.646074643291418,-0.262187807421896,0.426281880429001,-0.167566474557113,0.60181486572384,0.299188573905226,0.222125239764843
"AAMP",0.0280373831775701,0.0764421105130286,0.104479493690599,0.0934805541939703,0.723269693071768,0.0203621585143035,0.945543299287663,0.0806376383169702,0.785025392951603,0.012842915877,0.954290304972086
"AANAT",0.0540540540540541,0.0713333333333333,0.125387387387387,-0.875560087615523,0.192969806797394,0.786044485190117,0.310352769055505,-0.443872409779803,0.552899865033617,-0.43168767783572,0.447091575542012
"AARS",0.109090909090909,0.0562126732244747,0.165303582315384,0.391101986649236,0.124188229155873,-0.276707657478316,0.334730733361411,0.402769907125862,0.156700515275431,-0.0116679204766257,0.956388646419558
"AARS2",0.133333333333333,0.173370688762645,0.306704022095979,0.109485919236977,0.665256214624139,0.0113681418348035,0.968285482555021,-0.0455631528833749,0.872178308695577,0.155049072120352,0.471378096384067
"AARSD1",0.05,0,0.05,0.0587903018701583,0.842516546331448,-0.20074688650805,0.549845453755867,0.1465120479921,0.658716425461008,-0.0877217461219422,0.727148853539667
"AASDH",0.0641878446756496,0.0267670559610506,0.0909549006367002,0.179728361413014,0.306074716878933,-0.0617088031658373,0.755213587529959,0.213367126567186,0.278330614231013,-0.0336387651541723,0.820615344840705
"AASDHPPT",0.0769230769230769,0.0613506863506863,0.138273763273763,0.32415520885333,0.144543926356171,-0.172120755939395,0.490418831909198,0.187177226021175,0.448212916684626,0.136977982832155,0.464081259753513
"AASS",0.00480769230769231,0.0384615384615385,0.0432692307692308,-0.697008736904459,0.554532424807072,0.995546964359781,0.456288660772967,-0.181405053946127,0.890587078826082,-0.515603682958331,0.606548620350787
"AATF",0.0869565217391304,0.0123456790123457,0.0993022007514761,0.0655826991422996,0.697198645192594,-0.171354295716126,0.374070743442675,-0.170299107648141,0.368668457518759,0.235881806790441,0.103868600137719
"AATK",0.0357420357420357,0.0571658615136876,0.0929078972557233,-1.44592570218519,0.00468683315450547,-0.140541614536633,0.803160135057033,-0.13299133724413,0.808592459841647,-1.31293436494106,0.00264249688069423
"ABAT",0.111111111111111,0.0326745718050066,0.143785682916118,0.484494091056593,0.0660244237940035,-0.601120146793363,0.0479803120871228,0.413470471577473,0.158254385920124,0.0710236194791198,0.746805148867575
"ABCA1",0,0.042998676545027,0.042998676545027,0.561372762026664,0.415058312106698,-0.524024615311414,0.503075727101014,1.62979259046008,0.0382370390370622,-1.06841982843342,0.0715826053612919
"ABCA10",0,0.049645390070922,0.049645390070922,-0.600163031940951,0.332127664361015,0.0775853199361514,0.911825962626939,-0.611246156057661,0.377443225648177,0.01108312411671,0.983091053523908
"ABCA11P",0,0,0,0.470835701464396,0.386072010688263,-1.09145206513283,0.0854307161578223,0.381582524584976,0.529784593080399,0.0892531768794202,0.846017790092805
"ABCA12",0.117647058823529,0,0.117647058823529,0.311919190570706,0.474425506651931,-0.389899715341188,0.429683251467105,0.156000154677534,0.748906376112505,0.155919035893172,0.673193766245105
"ABCA13",0,0,0,1.99347753489744,0.0317951777235903,-1.11190493765544,0.336212513358894,0.591200003396734,0.560914558635468,1.40227753150071,0.0731877773785607
"ABCA17P",0.0454545454545455,0.104414682539683,0.149869227994228,-0.567690377653088,0.615185648408517,-1.57920585479822,0.223058338703711,-0.173456241396745,0.890795030528829,-0.394234136256343,0.680894664698186
"ABCA2",0.137254901960784,0.120553795302079,0.257808697262863,-0.343262351647124,0.308039938076009,0.512321305057291,0.184172675751887,-0.358960303574949,0.340915729185321,0.0156979519278249,0.955985704215444
"ABCA3",0.0454545454545455,0.104414682539683,0.149869227994228,-0.393478881092094,0.341995066553255,0.49024031708662,0.296086886428634,-0.410102186044057,0.376279602999376,0.0166233049519624,0.962118365744135
"ABCA4",0,0.025,0.025,0.726617056687653,0.399789404712758,-1.07280384635124,0.273847685518962,1.18897548082837,0.220590498784746,-0.462358424140718,0.527440831272023
"ABCA5",0,0.0813008130081301,0.0813008130081301,-0.167131828623039,0.83440055219032,-1.08594207130052,0.233077868374385,0.558836585352928,0.533302246712007,-0.725968413975966,0.287690606669661
"ABCA6",0,0,0,1.53817903591963,0.102323186448566,-1.97068324476019,0.0651760264546397,1.79553589245058,0.089019199624062,-0.257356856530958,0.744239259507722
"ABCA7",0.219178082191781,0.176645672220893,0.395823754412674,-0.67080798713576,0.00432720684935586,-0.23184688398442,0.377658923945563,-0.18479650698178,0.464884842033115,-0.48601148015398,0.0138300091226948
"ABCA8",0,0,0,-0.570663454669257,0.695311068542996,0.541427544802582,0.744283019952813,-0.00645406321768327,0.996842046366054,-0.564209391451573,0.648505864548437
"ABCA9",0.0181818181818182,0.0151515151515152,0.0333333333333333,0.830548279845838,0.374087636127106,-0.456980872579736,0.665986900011497,-0.463192792154818,0.657078826391571,1.29374107200066,0.106365507428922
"ABCB1",0.0782608695652174,0.0883333787366968,0.166594248301914,1.09315565253217,0.275187970820184,-2.11542435017582,0.0651317283533205,1.44493876679701,0.198927805721363,-0.351783114264842,0.67762172253516
"ABCB10",0.0818181818181818,0.0923485323156376,0.174166714133819,-0.864122526037716,0.155569383533924,1.43387646547505,0.0393240888420811,-1.26576410888475,0.0652338329264878,0.401641582847039,0.433610012043762
"ABCB11",0,0,0,-0.3775277236295,0.315420408916524,0.140345099757138,0.740135673599897,0.426312186280811,0.311522556365473,-0.803839909910311,0.0142470715925726
"ABCB4",0,0.217543859649123,0.217543859649123,0.0863693416122407,0.860823213257158,-0.597594202287537,0.288803048879637,1.71963313397872,0.00294441483861706,-1.63326379236648,0.000276127598091482
"ABCB5",0,0.0246794871794872,0.0246794871794872,-0.022158912325958,0.986243208803367,0.632910313273734,0.663730453724983,0.729184380037141,0.612930064040867,-0.751343292363099,0.492258102114278
"ABCB6",0.160714285714286,0.192992809202733,0.353707094917019,-0.583679426667771,0.320329688536022,0.534599690922509,0.419591451605342,0.791255763947992,0.230169023346711,-1.37493519061576,0.00763108306766928
"ABCB7",0,0,0,0.101760292330308,0.601335492814229,0.0242436975567433,0.913159526254629,0.22691950323981,0.300278555656101,-0.125159210909502,0.449940256703399
"ABCB8",0.0851063829787234,0.0120333772507686,0.097139760229492,0.201084679729058,0.463426838072221,-0.11737874537463,0.707223250009001,0.23287809413119,0.44846702901778,-0.0317934144021326,0.891124753223095
"ABCB9",0.0420015760441292,0.0661111111111111,0.10811268715524,-0.297503809359594,0.522420271119638,0.174729213129208,0.739627651476252,0.0827509260301322,0.873542530288437,-0.380254735389726,0.337023634120213
"ABCC1",0.192522416478088,0.0346989490639584,0.227221365542047,-1.23357417160665,0.44884135956537,3.37853959833067,0.0734732215017229,-0.785147267450214,0.666290441983629,-0.448426904156434,0.74519459971003
"ABCC10",0.0714285714285714,0.0384615384615385,0.10989010989011,0.292556800955406,0.328610778500739,0.0751764959571455,0.823762821979401,-0.0914052268097487,0.784261756465033,0.383962027765155,0.133754585275812
"ABCC11",0.09375,0.0606349206349206,0.154384920634921,0.207657367930163,0.424540122058066,-0.348130872384177,0.238557320043652,0.10771792258985,0.710778036937643,0.0999394453403131,0.650128146064161
"ABCC12",0.333333333333333,0.0241944941862486,0.357527827519582,0.882900145397274,0.304552853757703,-0.481825558857266,0.626996352159349,1.17453144595269,0.223717236996949,-0.291631300555414,0.688256538310305
"ABCC13",0,0,0,-0.254794679619584,0.307338081421062,-0.0484380883547768,0.864454629474739,-0.304734330754646,0.276065311308238,0.0499396511350616,0.81279217524539
"ABCC2",0.0454545454545455,0,0.0454545454545455,0.224506288405712,0.460814093877172,-0.18258445395792,0.619097121156842,-0.223005706106175,0.512823683847134,0.447511994511887,0.0873712776267752
"ABCC3",0.108108108108108,0.0372256662475766,0.145333774355685,-1.01954021438024,0.361241400016795,0.86588440407244,0.495379334466018,-0.444631137491224,0.72123321743783,-0.574909076889013,0.543379551432109
