"Gene","Promoter","Enhancer","Methylation_score","NR_R_logFC","NR_R_P.Value","R_REL_logFC","R_REL_P.Value","OR_R_logFC","OR_R_P.Value","NR_OR_logFC","NR_OR_P.Value"
"ABCC4",0.153846153846154,0.00986842105263158,0.163714574898785,-0.758870950301718,0.189427520746274,0.836894985991239,0.201012973025437,0.240244391006994,0.708393320901565,-0.999115341308712,0.044476991632122
"ABCC5",0,0.049505126357634,0.049505126357634,-0.33457582799872,0.196024894652393,0.334666436143918,0.260339490137828,0.202261364854012,0.482555396922138,-0.536837192852732,0.0168089160150048
"ABCC6",0,0,0,-0.0483036608718326,0.943605351234983,-0.120289823860994,0.876856772476755,0.405913292310892,0.596142118451287,-0.454216953182724,0.434929872526443
"ABCC6P1",0,0,0,0.487330525284318,0.400779537592554,-1.94054109351083,0.00463410301616661,1.53599143174873,0.0210468090501034,-1.04866090646441,0.0367825437100305
"ABCC6P2",0,0,0,-0.0937458433563227,0.927013595588351,-2.24207564796654,0.0594860156275881,2.42222682460746,0.0388261384514517,-2.51597266796378,0.00546225467284113
"ABCC8",0.304347826086957,0.0708994708994709,0.375247296986427,-1.8040114708505,0.0531607918571382,0.874784107387172,0.414203274153219,-1.7097416296743,0.0999434834902871,-0.0942698411762013,0.903417161263161
"ABCC9",0.45,0.3,0.75,-1.58128353502456,0.167959987092879,0.870815190094403,0.502669922919749,-0.869273053929784,0.495331281747265,-0.71201048109478,0.461546144033809
"ABCD1",0,0,0,0.0154950414769939,0.957703572380025,-0.312526175426734,0.345890683002729,-0.140227509648205,0.668573066483539,0.155722551125199,0.531096721503949
"ABCD2",0,0,0,-0.0334837866932052,0.981776885916638,0.398917244322992,0.811885668056385,0.646929348286748,0.693814984340462,-0.680413134979953,0.585277086124919
"ABCD3",0.0384615384615385,0.113484162895928,0.151945701357466,-0.107176235666078,0.572065688686607,-0.0998145364667318,0.647953943423219,-0.228108939543247,0.285073432477318,0.120932703877169,0.453405513403836
"ABCD4",0.09375,0,0.09375,0.187021672461794,0.451450806251802,0.00878606020899309,0.974943893957974,0.204368335521923,0.462496820393993,-0.0173466630601284,0.934262375338814
"ABCE1",0.0216216216216216,0.00134952766531714,0.0229711492869388,0.313294092383438,0.223917377792303,0.0725405767409661,0.80564970082796,0.0993183998167639,0.728824661161907,0.213975692566674,0.326711058024528
"ABCF1",0.0877152018928427,0.165616952132754,0.253332154025597,0.0625134147032416,0.711683482754588,-0.0185643421639599,0.923595254574624,-0.214942175867909,0.259400605120561,0.277455590571151,0.0578847156885407
"ABCF2",0.105263157894737,0.0666666666666667,0.171929824561403,0.118925345495752,0.594764456153006,0.207193097025796,0.412940952917381,0.0855997467665626,0.732247825471924,0.0333255987291894,0.860484471273436
"ABCF3",0.318181818181818,0.100158903370861,0.418340721552679,0.179305179768588,0.234517139907016,-0.0871774235567813,0.610309226710611,0.0451182396210124,0.787957612817308,0.134186940147575,0.294027177502257
"ABCG1",0.0952380952380952,0.025,0.120238095238095,0.0833293460003741,0.838840733188026,0.456880831182207,0.358378330511714,-0.190052237667462,0.678988719751755,0.273381583667836,0.433445314875006
"ABCG2",0.142857142857143,0.0206971677559913,0.163554310613134,-1.48296705791025,0.0934875838381973,1.18646355691404,0.233497486024432,0.265302234565091,0.785773536396883,-1.74826929247534,0.0215642483049645
"ABCG4",0.146341463414634,0.04,0.186341463414634,-0.129709116934256,0.803001857107444,0.417949503079947,0.480790097800874,-0.911460164560112,0.122114646908531,0.781751047625856,0.0813674856352867
"ABCG5",0.0217391304347826,0,0.0217391304347826,0.931515885297922,0.300937591869019,-1.50617522460702,0.142297936825272,1.43620590575172,0.156519481204437,-0.504690020453794,0.507884367198877
"ABCG8",0.0217391304347826,0,0.0217391304347826,-0.480142283630699,0.5415923212413,-0.0619978955724263,0.944409583868137,-0.0133350727134309,0.987900281051669,-0.466807210917268,0.484938987970093
"ABHD1",0.109446237427342,0.0617538149114165,0.171200052338759,-0.018802879030233,0.952803020186854,0.112734575558177,0.753538866708227,0.0171583625014811,0.96153990049005,-0.0359612415317141,0.893969773950401
"ABHD10",0.1,0.0158374792703151,0.115837479270315,0.206702313058119,0.587131280298769,-0.740071460424456,0.0934345657480743,0.712619365304518,0.0989318200363837,-0.505917052246399,0.121695921384228
"ABHD11",0,0,0,0.0992824935001613,0.657744385690064,0.240551727889968,0.344127366566733,0.0125332156269788,0.960136000205816,0.0867492778731824,0.648538463192473
"ABHD12",0.119047619047619,0.0550595238095238,0.174107142857143,-0.146289699826939,0.524094837805238,0.10230016406829,0.693270847458699,-0.101306644634382,0.693294740702771,-0.0449830551925574,0.817245631486272
"ABHD12B",0,0,0,0.151546889702237,0.671604684104774,-0.820870341969545,0.0468081048240578,0.242149878946035,0.545709497507626,-0.0906029892437987,0.765249350904641
"ABHD13",0.113924050632911,0.0843340815563038,0.198258132189215,-0.858231578146324,0.281621588004956,1.26709893379118,0.166014996946145,-0.644797987114326,0.468679971724117,-0.213433591031998,0.751201082230972
"ABHD14A",0.072,0.0810990218159336,0.153099021815934,0.0784600109100952,0.75153302047818,0.0814165141107699,0.77112326514518,-0.0649783036469169,0.81485901873642,0.143438314557012,0.496321288527482
"ABHD14B",0.072655462184874,0.0542692302146084,0.126924692399482,0.152229800810736,0.594790510090426,-0.0563963935101208,0.861530156832682,0.0798062393387842,0.803168064957705,0.0724235614719522,0.765487898596141
"ABHD15",0,0.0416666666666667,0.0416666666666667,-0.44795429315105,0.142072241370961,0.529578821370833,0.127905721716138,-0.100182703568337,0.766958654776546,-0.347771589582713,0.178759463982613
"ABHD2",0.0217391304347826,0.0180555555555556,0.0397946859903382,0.0494043187637025,0.83681800389445,-0.395557768673484,0.152312107651513,0.0131060027447107,0.961085148493609,0.0362983160189918,0.858565655431831
"ABHD3",0.272727272727273,0.197797854319593,0.470525127046866,0.420194053701263,0.0668897231502721,-0.682185112395152,0.0109655053063931,0.336789127188839,0.186005305242481,0.0834049265124244,0.663185461281459
"ABHD4",0.204761904761905,0.103464795191852,0.308226699953757,-0.000541814346496139,0.998466352895327,0.366889010106319,0.255797449574604,0.239549221383232,0.449379964465903,-0.240091035729729,0.318420056395127
"ABHD5",0.222222222222222,0,0.222222222222222,-0.501506091973719,0.180150904549751,-0.340374611582354,0.428213376447235,0.0014670421449221,0.997180493649038,-0.502973134118641,0.11478178450565
"ABHD6",0,0,0,0.0877519753545013,0.817471160749508,0.265114010713217,0.542578993629908,0.120137791220194,0.777891797049648,-0.0323858158656924,0.920088274726558
"ABHD8",0.0714285714285714,0,0.0714285714285714,-0.243228476919555,0.473178340302377,-0.109143970526449,0.77533037088049,-0.023967539724262,0.949546247673984,-0.219260937195292,0.446558916439837
"ABI1",0.00833333333333333,0.0232763559969442,0.0316096893302776,-0.00437813417906341,0.979395920835131,0.00908319052266471,0.962306444255127,-0.219437482973332,0.251091809903817,0.215059348794268,0.139743844637072
"ABI2",0,0,0,0.0325703440632541,0.940047988127113,0.253151125249333,0.607473802199406,0.199942725104524,0.680449568640112,-0.16737238104127,0.649386018506394
"ABI3",0.136363636363636,0.017175572519084,0.15353920888272,-0.172376963442647,0.728192583094192,0.0303226423302351,0.956861386688308,0.0973565980917212,0.860824927333184,-0.269733561534368,0.522575117717185
"ABI3BP",0.181818181818182,0,0.181818181818182,0.514839009017876,0.520442047171887,-0.54979070474244,0.545471324647201,-0.157850483148973,0.860078914561024,0.672689492166849,0.324199467287901
"ABL1",0.0645161290322581,0.0204954954954955,0.0850116245277536,-0.245372272629162,0.335679495623543,0.213593656670856,0.45952813901846,-0.270580908808777,0.343137960363328,0.0252086361796158,0.906838430349579
"ABL2",0.0340909090909091,0.074263468013468,0.108354377104377,0.243813891082678,0.228084225150087,0.0876619888590797,0.701252446768481,-0.0923686672820141,0.681476015024645,0.336182558364692,0.0531868884490356
"ABLIM1",0.00161290322580645,0.0152263862534261,0.0168392894792326,0.278140240563038,0.583940468923646,0.606147876443776,0.293349077746072,0.0436831890505136,0.938696650382802,0.234457051512525,0.586723472936393
"ABLIM2",0.0282362105058176,0.111111111111111,0.139347321616929,0.954626512655885,0.319367174519008,-0.746522595332824,0.493093533811789,1.54335337345781,0.152910691876364,-0.58872686080193,0.468522214432076
"ABLIM3",0.03125,0.00411522633744856,0.0353652263374486,-0.886464283692352,0.439650401917901,1.3499361291793,0.30849668072428,-0.970515643048624,0.449967725398488,0.0840513593562727,0.93103081325046
"ABO",0,0,0,-1.00155436579032,0.454298889565945,0.750132617620898,0.626287651836717,-2.40126655433804,0.112908549122205,1.39971218854771,0.220471455895755
"ABP1",0.173288398650961,0.062712262669461,0.236000661320422,-1.69621249603193,0.250404311380105,0.606578158059021,0.716895960974415,-0.535031741658394,0.744607917075369,-1.16118075437354,0.353020400971978
"ABR",0.0272655464190738,0.00997289627703332,0.0372384426961072,0.561126052790161,0.368011748822303,-0.581613882248922,0.410815501606237,0.266977450771146,0.701177448148569,0.294148602019015,0.577436631608536
"ABRA",0.029149056072133,0.0147792022792023,0.0439282583513353,-0.350343988718623,0.31713002188144,-0.252355336572646,0.523401623846317,-0.356754282072789,0.362661358463489,0.00641029335416565,0.982713534521274
"ABT1",0.227272727272727,0.0796859022831563,0.306958629555884,0.0548292885098087,0.82731541411834,-0.0385789271232908,0.892031856879486,0.070814417088477,0.801410005189533,-0.0159851285786683,0.94028973451355
"ABTB1",0.0606060606060606,0.0050125313283208,0.0656185919343814,-0.405486009407272,0.264586270139395,-0.00653923148137903,0.987989029410726,0.0280541514356036,0.944700642041385,-0.433540160842876,0.161733363379293
"ABTB2",0.260869565217391,0.0478070175438596,0.308676582761251,0.840557035339326,0.18384044527816,-1.38129226137786,0.0563249679386961,0.444933308076219,0.526979008945735,0.395623727263106,0.45850156921604
"ACAA1",0.0287769784172662,0.0606060606060606,0.0893830390233268,-0.133368439556941,0.585818182571253,-0.0965794258260129,0.73362250703362,-0.0225835941975028,0.934245076309709,-0.110784845359438,0.594017099824889
"ACAA2",0,0.0108560794044665,0.0108560794044665,-0.262223254384655,0.553047762210845,-0.455721193949422,0.363720131924717,0.45859073765346,0.355604958992998,-0.720813992038115,0.059060522608903
"ACACA",0.0595152511040361,0.0220797720797721,0.0815950231838082,0.283215589249487,0.317668310795907,-0.243226061984675,0.446482719855767,0.0323711225197076,0.918357776222974,0.250844466729779,0.297557671579375
"ACACB",0.181818181818182,0.121779788838612,0.303597970656794,0.144723148060485,0.689938865191937,-0.585140433621429,0.158600983562943,0.068323691550976,0.86637467927988,0.0763994565095087,0.804047219553458
"ACAD10",0.0833333333333333,0.0822440087145969,0.16557734204793,0.208902017244428,0.297277595843031,-0.162173652786643,0.472432453294872,0.0907140106042315,0.684702758286603,0.118188006640197,0.486073695754131
"ACAD11",0.0568181818181818,0.0369012011584295,0.0937193829766113,0.505359565485797,0.0768859358424142,-0.166409882218285,0.60140329974117,0.108920091217401,0.729441739784681,0.396439474268396,0.101421997570932
"ACAD8",0.0330578512396694,0.0591345942622775,0.0921924455019469,0.251469267655128,0.303140917568944,-0.223339757782471,0.418563477317646,0.381551313786682,0.164976663360948,-0.130082046131554,0.529074734576068
"ACAD9",0.192307692307692,0.125,0.317307692307692,0.299710457801407,0.130002626929058,-0.451795341807984,0.0451821599107016,0.130329166744347,0.552595531198786,0.16938129105706,0.31041994554822
"ACADL",0.0666666666666667,0,0.0666666666666667,0.354360456502026,0.617511842057114,-0.943707243731675,0.24231296020505,0.994390916179317,0.214010188941203,-0.640030459677291,0.290407465535438
"ACADM",0.032967032967033,0.0734429271003345,0.106409960067367,0.125957336667428,0.658741564018133,-0.12964741178891,0.690378675365694,-0.0899146212469137,0.778213092284032,0.215871957914342,0.374266684359683
"ACADS",0.145743944636678,0.0440899669388176,0.189833911575496,0.435530187332162,0.0901141394027106,-0.012948238279797,0.963888604092521,0.0708457457561966,0.802732339752661,0.364684441575966,0.094579289862822
"ACADSB",0.04,0.0350098819579814,0.0750098819579814,-0.284696905102418,0.554809116594882,-0.144404218658796,0.79064789946505,0.0883238281327561,0.869845865160918,-0.373020733235174,0.363422633044547
"ACADVL",0.150176577808157,0.122845574423118,0.273022152231274,0.0220232862644956,0.911149281690475,-0.225790180155636,0.316306917302138,-0.0724334081469795,0.743285546091992,0.0944566944114751,0.573666304145702
"ACAN",0,0.036144578313253,0.036144578313253,-0.228567613462499,0.857291059052022,-0.785698510995242,0.585386442072139,0.361782523194336,0.799437208320495,-0.590350136656836,0.584970569236488
"ACAP1",0.137820512820513,0.106053630432226,0.243874143252739,0.208258309887905,0.375902918127934,-0.273664485647171,0.303688353310182,-0.0289999381690071,0.911987221657801,0.237258248056913,0.236418584308497
"ACAP2",0.2,0.0866346538615446,0.286634653861545,-0.0398031068868008,0.830219878085852,-0.0483384443297288,0.817765874561904,-0.300340799823954,0.15289764095781,0.260537692937153,0.103091276833539
"ACAP3",0.0853658536585366,0.172290206870777,0.257656060529314,-0.0261895071197271,0.937763800304196,-0.074646115424347,0.843906761552697,-0.00519957643283675,0.988957148724839,-0.0209899306868904,0.941258507757516
"ACAT1",0.315789473684211,0.0300751879699248,0.345864661654135,0.3895966635607,0.174949729913507,-0.59922196220592,0.0677578028627665,0.585294360730846,0.0709587564200205,-0.195697697170147,0.419453950004547
"ACAT2",0,0.0477389174293199,0.0477389174293199,0.526926740021151,0.0297830117251291,-0.496723086303751,0.0706002827119606,0.210187484552906,0.429025346974903,0.316739255468245,0.119477311133335
"ACBD3",0.0952380952380952,0.0886409126878335,0.183879007925929,0.145214570178527,0.399502571775166,-0.192244494737243,0.331614461531441,-0.0355101654782306,0.853547262198312,0.180724735656757,0.218899367685517
"ACBD4",0.0755813953488372,0.0603389830508475,0.135920378399685,0.344079092198942,0.157675064640044,-0.181562200281554,0.512679668229574,0.221826195486317,0.412798966910437,0.122252896712625,0.55098776248476
"ACBD5",0,0,0,0.295889979172657,0.0617970643986618,-0.272052496301312,0.126215982857624,0.0549918130863833,0.752368309852541,0.240898166086273,0.0729463586894095
"ACBD6",0.1875,0.0582214661891404,0.24572146618914,0.163004167561962,0.459872402040813,-0.10947783718433,0.660571882370568,-0.0358342105528671,0.884350467738515,0.19883837811483,0.289890120698646
"ACBD7",0.210526315789474,0.0536036036036036,0.264129919393077,-0.292487654242451,0.480044974437616,-0.123266149163325,0.800959825646689,-0.0656727780715636,0.88713533593411,-0.226814876170888,0.518823529152897
"ACCN1",0,0,0,0.24072807645708,0.681970475193298,0.0744133553628767,0.91118172369287,-0.25725394149864,0.69579996817485,0.49798201795572,0.320288900755084
"ACCN2",0,0,0,0.476998479290064,0.625348944939351,-0.689244920830054,0.532629411812819,-0.0663290375405889,0.951602267907662,0.543327516830653,0.51294258218394
"ACCN3",0,0,0,-0.0294847045480382,0.944584648417844,0.344508553706968,0.477822427000779,-0.266294738235266,0.575769294703165,0.236810033687228,0.511886095725496
"ACCN4",0,0,0,-1.60054548082812,0.0495616845218896,0.774709036366759,0.393464624916141,-0.994068797803917,0.269496675346006,-0.606476683024202,0.373188552283121
"ACCN5",0,0,0,-0.00196684217361298,0.997630892147355,-0.435164882901561,0.56220187741759,0.731859461728551,0.326381248080024,-0.733826303902164,0.195997693910041
"ACCS",0.00354609929078014,0.00595238095238095,0.00949848024316109,-1.30335933390527,0.194930900231532,0.92307042004406,0.421272193748132,-2.34391032687028,0.0400507870499947,1.04055099296501,0.222574206176611
"ACCSL",0,0.00714285714285714,0.00714285714285714,-0.0320793573750899,0.940264845311334,-0.0431782021197105,0.93085618244739,-0.128076251860744,0.789452672143468,0.095996894485654,0.791805148107776
"ACD",0.101123595505618,0.0908718532996546,0.191995448805273,-0.0781939765605992,0.751481587244674,-0.0389614347230802,0.888847766415614,-0.207621423671968,0.453908088517769,0.129427447111369,0.537677504700212
"ACE",0.295512414414853,0.104700921189763,0.400213335604616,-0.00777014588002256,0.97110061044845,-0.167168607737613,0.493417909925117,-0.135507915985845,0.573340888753023,0.127737770105823,0.484239534056832
"ACE2",0,0,0,1.07868766784719,0.0835915128821253,0.642232145160507,0.357019572572295,-0.0864968171764153,0.899864661232575,1.1651844850236,0.0292417574059628
"ACER1",0,0,0,-1.51110230471949,0.0908215046829084,0.0143774692578056,0.988521387883075,-0.388318204489241,0.693900390289586,-1.12278410023025,0.137618829096423
"ACER2",0,0,0,2.57312642921792,0.00500306092092519,-1.85085144175265,0.0725939626410267,2.5359439719343,0.0127017740110818,0.0371824572836239,0.960277132838689
"ACER3",0.230769230769231,0,0.230769230769231,0.0834855814287799,0.819095475468952,-0.13376445188227,0.748720855536478,0.431512295833925,0.293904503606306,-0.348026714405145,0.264575174480525
