"__mclCluster","EnrichmentMap::Colouring (Data Set 1)","EnrichmentMap::ES (Data Set 1)","EnrichmentMap::fdr_qvalue (Data Set 1)","EnrichmentMap::fwer_qvalue (Data Set 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Data Set 1)","EnrichmentMap::pvalue (Data Set 1)","name","selected","shared name","wordcloud.sync"
,"0.99999653",,"0.001",,"GNAI1|CRHBP|CRH|CAMK2A|KRT14|IL2|GNB5|RELA|GNAZ|MAP2K1|CREB1|CACNA1H","Corticotropin-releasing hormone signaling pathway","12","ENR","WP2355","0.3","3.47E-6","WP2355","false","WP2355","false"
"6","0.99988",,"0.0054",,"NPC1|WNT7B|CRHBP|ATP6V1G2|CRH|EPHA8|ATP6V1E2|BMP6|GLB1|BCAR1|SREBF1|NR4A3|NR2E3|PTK2B|CAMK2A|RELA|ACTA1|CREB1|NR5A2|BGLAP|RARG|PKLR|NR2E1|GNAI1|CCL19|EPO|GSTM3|RARRES2|RXRA|GHR|NR5A1|UCP3|FBN1|IRS2|RORC|NOS2|BCHE|CACNA1H","response to hormone","38","ENR","GO:0009725","0.22676062401770314","1.2E-4","GO:0009725","false","GO:0009725","false"
"6","0.999",,"0.0332",,"NPC1|CRHBP|ATP6V1G2|CRH|EPHA8|ATP6V1E2|BCAR1|SREBF1|NR4A3|NR2E3|CAMK2A|RELA|CREB1|NR5A2|RARG|PKLR|NR2E1|RARRES2|RXRA|GHR|NR5A1|UCP3|FBN1|IRS2|RORC|CACNA1H","cellular response to hormone stimulus","26","ENR","GO:0032870","0.14788619162959638","0.001","GO:0032870","false","GO:0032870","false"
"6","0.99987",,"0.006",,"NPC1|WNT7B|CRH|EPO|BMP6|GLB1|SREBF1|RXRA|NR5A1|UCP3|NR4A3|NR2E3|RORC|BCHE|RELA|ACTA1|NR5A2|BGLAP|RARG|NR2E1","response to steroid hormone","20","ENR","GO:0048545","0.2221848749616356","1.3E-4","GO:0048545","false","GO:0048545","false"
,"0.9977",,"0.0206",,"GNAI1|MAP3K1|IRS2|BCAR1|MAP2K1|MAPK11|CREB1|IGF1|GHR","Growth hormone synthesis, secretion and action","9","ENR","hsa04935","0.16861327796308465","0.0023","hsa04935","false","hsa04935","false"
"19","0.9999196",,"0.0127",,"NR4A3|NR2E3|RORC|NR5A2|RARG|RXRA|NR2E1|NR5A1","steroid hormone receptor activity","8","ENR","GO:0003707","0.18961962790440431","8.04E-5","GO:0003707","false","GO:0003707","false"
,"0.9964",,"0.0294",,"GNAI1|MMP17|MMP16|MAP2K1|CREB1|BGLAP|RXRA|CASR","Parathyroid hormone synthesis, secretion and action","8","ENR","hsa04928","0.15316526695878427","0.0036","hsa04928","false","hsa04928","false"
