"TF","size","nes","pval","pval.fdr"
"ETV4",15,2.55718918345142,0.0105521811767757,0.977602830634674
"FOSL1",11,2.07021240982906,0.038432457651591,0.977602830634674
"CREB1",74,1.96733016292024,0.0491451598413988,0.977602830634674
"STAT5B",16,-1.92273249847811,0.0545136532362736,0.977602830634674
"FOXA2",11,-1.76519331796389,0.0775312812519329,0.977602830634674
"FOXP1",161,-1.70127826086247,0.0888907481254717,0.977602830634674
"SMAD4",27,-1.5918481730644,0.111418823018975,0.977602830634674
"ELK1",30,-1.44696954449916,0.14790545359856,0.977602830634674
"WT1",31,-1.42579837659236,0.153926549663005,0.977602830634674
"ATF2",24,-1.36368543744969,0.172666589260582,0.977602830634674
"CTCF",109,-1.35755129653189,0.174606106022732,0.977602830634674
"TFAP2C",15,1.34664822481682,0.178093554684079,0.977602830634674
"JUND",19,-1.34129961632568,0.179823194331947,0.977602830634674
"FOXA1",30,1.32651566761641,0.184668948979371,0.977602830634674
"MITF",34,-1.2977467661702,0.194374367703237,0.977602830634674
"EGR1",124,-1.29394337695599,0.195684979960128,0.977602830634674
"PAX8",11,1.26534269104385,0.205748509243666,0.977602830634674
"RELB",13,-1.23187455129617,0.217995949107972,0.977602830634674
"SOX2",253,-1.22148974079219,0.221900647647732,0.977602830634674
"NFKB2",18,-1.19381037007855,0.232552154260261,0.977602830634674
"TWIST1",15,1.17276168340195,0.240891387639071,0.977602830634674
"MYB",25,1.13611794298947,0.255907206541642,0.977602830634674
"BACH1",24,-1.13102819020504,0.258043226504198,0.977602830634674
"TAL1",18,-1.09891478738576,0.271805235991022,0.977602830634674
"STAT4",10,-1.04102563699837,0.29786364998465,0.977602830634674
"SRF",10,-1.00623459252431,0.314302735498574,0.977602830634674
"NFATC2",10,0.975738121710293,0.329194255700169,0.977602830634674
"STAT3",74,0.929129628978632,0.352821911120425,0.977602830634674
"GLI2",16,0.903055483537669,0.366496448718898,0.977602830634674
"REST",12,-0.8776928283295,0.380110437468253,0.977602830634674
"STAT1",281,-0.875468460381758,0.381319063971287,0.977602830634674
"NR3C1",10,0.869567352292888,0.38453688585648,0.977602830634674
"SOX9",13,-0.865982302486663,0.386499866994464,0.977602830634674
"NFIC",28,-0.828776583420698,0.407230841026423,0.977602830634674
"SMAD3",33,0.822675566178173,0.410692513675783,0.977602830634674
"YY1",66,-0.815540691275847,0.41476288245267,0.977602830634674
"PPARA",31,-0.812068401975932,0.416752383096852,0.977602830634674
"GATA3",70,0.805201155925486,0.420703609546274,0.977602830634674
"PPARG",40,-0.796942991319469,0.425484141156671,0.977602830634674
"TCF3",14,-0.774023172090012,0.438917088319486,0.977602830634674
"NFYA",10,0.768476132678372,0.442204364985249,0.977602830634674
"VDR",24,0.763287923707942,0.445291702544976,0.977602830634674
"E2F3",13,-0.762224455763707,0.4459260523959,0.977602830634674
"NFE2L2",11,0.753199845341084,0.451329832281072,0.977602830634674
"STAT5A",21,0.718252400619638,0.472601673589324,0.977602830634674
"SP3",77,-0.708023440180903,0.478930701235914,0.977602830634674
"ZBTB33",12,-0.704600706606236,0.481058758653113,0.977602830634674
"HNF4A",82,0.682516505482837,0.494912409578557,0.977602830634674
"FOXO1",43,-0.674318360135977,0.500108933787548,0.977602830634674
"RFX5",14,0.672051471247801,0.501550929293795,0.977602830634674
"STAT6",10,0.655898018690121,0.511889743112535,0.977602830634674
"RUNX3",12,-0.645763680601179,0.518432412540236,0.977602830634674
"FOSL2",10,-0.631393936020407,0.52778297998114,0.977602830634674
"RARA",37,0.622847387776778,0.533384814438481,0.977602830634674
"EPAS1",12,0.618392233946924,0.536316815816739,0.977602830634674
"KLF4",12,0.589083642611515,0.555805165709462,0.977602830634674
"E2F1",313,0.566606981816945,0.570981230418087,0.977602830634674
"E2F2",14,0.544107003564049,0.586367841291754,0.977602830634674
"USF2",38,-0.530290417417571,0.595910589599552,0.977602830634674
"RELA",143,0.529618472867644,0.596376483813188,0.977602830634674
"SOX10",16,0.510182816009775,0.609923389839313,0.977602830634674
"PRDM14",183,-0.509832398055116,0.610168886013209,0.977602830634674
"TFAP2A",62,-0.502324415300303,0.615439337579702,0.977602830634674
"FOXO3",38,0.478957250199158,0.631969041434055,0.977602830634674
"NR5A1",15,0.47248482651453,0.636580769717601,0.977602830634674
"ESR1",155,0.451496189746986,0.651631970588569,0.977602830634674
"ZEB1",15,0.441189648521538,0.659075706537264,0.977602830634674
"E2F4",225,0.436524913858705,0.662455927270637,0.977602830634674
"RFXANK",12,-0.422081365197901,0.672965629156161,0.977602830634674
"CDX2",17,0.410294562222046,0.681589880552306,0.977602830634674
"ATF6",10,-0.408938675249763,0.682584665725676,0.977602830634674
"FOXL2",23,-0.401602151388521,0.687976846293353,0.977602830634674
"LEF1",22,0.36443734067724,0.715531455979032,0.977602830634674
"PGR",11,0.362594957379537,0.716907477711433,0.977602830634674
"JUN",119,-0.347182695421944,0.728454070312766,0.977602830634674
"ATF4",15,-0.345114449017331,0.730008331285808,0.977602830634674
"ETS1",143,0.330342938586391,0.74114085192587,0.977602830634674
"ETS2",30,-0.326728117955016,0.743873531348892,0.977602830634674
"TP53",241,0.317137926757836,0.751138947687054,0.977602830634674
"HSF1",12,0.294856999764302,0.768103121478787,0.977602830634674
"USF1",59,0.285089638418571,0.775575468151022,0.977602830634674
"ESR2",16,0.273345256848865,0.784587829504964,0.977602830634674
"GATA2",39,-0.270442019163964,0.786820217370328,0.977602830634674
"IRF1",32,0.260641462818794,0.794369011807498,0.977602830634674
"HIF1A",146,-0.250987228953136,0.801823983043786,0.977602830634674
"AR",131,0.249559349902584,0.802928138080566,0.977602830634674
"RXRA",12,-0.239848332869683,0.810447836143257,0.977602830634674
"POU2F1",33,-0.232858519221433,0.815871269906327,0.977602830634674
"REL",20,0.229690576469484,0.818332218041242,0.977602830634674
"ERG",12,0.228266788469988,0.819438841968928,0.977602830634674
"CEBPD",14,-0.222073817813235,0.824256419339279,0.977602830634674
"NR2F2",18,0.17458401541343,0.861406509529528,0.977602830634674
"CEBPA",143,-0.171443746593657,0.863874859143683,0.977602830634674
"FOS",87,-0.170275817939628,0.864793228021157,0.977602830634674
"HNF1A",25,-0.164531494022917,0.869312755920418,0.977602830634674
"SP1",319,0.149564100222347,0.881108533397302,0.977602830634674
"ZNF263",301,-0.148353311254456,0.882063944484161,0.977602830634674
"CEBPB",42,0.147629102129976,0.882635486571406,0.977602830634674
"TCF7L2",19,0.143452956720623,0.885932461997578,0.977602830634674
"FLI1",13,-0.134703150128299,0.892846582451002,0.977602830634674
"SPI1",102,-0.133421541834966,0.893860009791049,0.977602830634674
"RUNX1",21,0.125182142715213,0.900379354079929,0.977602830634674
"FOXO4",14,-0.116915797179233,0.906926779669478,0.977602830634674
"TFDP1",12,0.115434554139485,0.908100691771901,0.977602830634674
"NFKB1",163,-0.108828186447052,0.913338767038961,0.977602830634674
"MYC",381,-0.108286746836591,0.91376823528703,0.977602830634674
"IRF9",12,-0.0996449078587213,0.920626239905408,0.977602830634674
"RFXAP",12,0.0993438363845644,0.92086527413717,0.977602830634674
"MYCN",13,0.0960331390946314,0.923494252994219,0.977602830634674
"ARNTL",10,0.0960005925917503,0.923520101917631,0.977602830634674
"FOXM1",33,-0.0953380656121867,0.92404630835376,0.977602830634674
"TP63",18,0.0675224857979398,0.946165761795128,0.977602830634674
"STAT2",38,-0.0570121604641504,0.954535508248682,0.977602830634674
"PAX6",13,-0.0562734119626909,0.955123999442205,0.977602830634674
"SREBF1",23,-0.0498397615432103,0.960250080910063,0.977602830634674
"ATF1",20,-0.0418141197482439,0.966646878926456,0.977602830634674
"GATA1",15,0.0384635900959857,0.969318060883533,0.977602830634674
"SREBF2",16,0.00279095656586491,0.997773141737221,0.997773141737221
