Gene	logFC	P.Value	Promoter	Enhancer	Methylation_score	nes	pval	Eigen_centrality	Page_rank	TF	Cluster
ABCA12	0.311919190570706	0.474425506651931	0.117647058823529	0	0.117647058823529	0	1	0	0	FALSE	999
ABCA13	1.99347753489744	0.0317951777235903	0	0	0	0	1	1.04110441000262e-16	0.000299222022742429	FALSE	329
ABCA17P	-0.567690377653088	0.615185648408517	0.0454545454545455	0.104414682539683	0.149869227994228	0	1	0	0	FALSE	999
ABCA2	-0.343262351647124	0.308039938076009	0.137254901960784	0.120553795302079	0.257808697262863	0	1	0	0	FALSE	999
ABCA3	-0.393478881092094	0.341995066553255	0.0454545454545455	0.104414682539683	0.149869227994228	0	1	0	0	FALSE	999
ABCA4	0.726617056687653	0.399789404712758	0	0.025	0.025	0	1	0	0	FALSE	999
ABCA5	-0.167131828623039	0.83440055219032	0	0.0813008130081301	0.0813008130081301	0	1	0	0	FALSE	999
ABCA6	1.53817903591963	0.102323186448566	0	0	0	0	1	0	0	FALSE	999
ABCA7	-0.67080798713576	0.00432720684935586	0.219178082191781	0.176645672220893	0.395823754412674	0	1	0	0	FALSE	999
ABCA8	-0.570663454669257	0.695311068542996	0	0	0	0	1	0	0	FALSE	999
ABCA9	0.830548279845838	0.374087636127106	0.0181818181818182	0.0151515151515152	0.0333333333333333	0	1	0	0	FALSE	999
ABCB1	1.09315565253217	0.275187970820184	0.0782608695652174	0.0883333787366968	0.166594248301914	0	1	0	0	FALSE	999
ABCB10	-0.864122526037716	0.155569383533924	0.0818181818181818	0.0923485323156376	0.174166714133819	0	1	0	0	FALSE	999
ABCB11	-0.3775277236295	0.315420408916524	0	0	0	0	1	0	0	FALSE	999
ABCB4	0.0863693416122407	0.860823213257158	0	0.217543859649123	0.217543859649123	0	1	0	0	FALSE	999
ABCB5	-0.022158912325958	0.986243208803367	0	0.0246794871794872	0.0246794871794872	0	1	0	0	FALSE	999
ABCB6	-0.583679426667771	0.320329688536022	0.160714285714286	0.192992809202733	0.353707094917019	0	1	0	0	FALSE	999
ABCB7	0.101760292330308	0.601335492814229	0	0	0	0	1	0	0	FALSE	999
ABCB8	0.201084679729058	0.463426838072221	0.0851063829787234	0.0120333772507686	0.097139760229492	0	1	0	0	FALSE	999
ABCB9	-0.297503809359594	0.522420271119638	0.0420015760441292	0.0661111111111111	0.10811268715524	0	1	0	0	FALSE	999
ABCC1	-1.23357417160665	0.44884135956537	0.192522416478088	0.0346989490639584	0.227221365542047	0	1	0	0	FALSE	999
ABCC10	0.292556800955406	0.328610778500739	0.0714285714285714	0.0384615384615385	0.10989010989011	0	1	0	0	FALSE	999
ABCC11	0.207657367930163	0.424540122058066	0.09375	0.0606349206349206	0.154384920634921	0	1	0	0	FALSE	999
ABCC12	0.882900145397274	0.304552853757703	0.333333333333333	0.0241944941862486	0.357527827519582	0	1	0	0	FALSE	999
ABCC13	-0.254794679619584	0.307338081421062	0	0	0	0	1	0	0	FALSE	999
ABCC2	0.224506288405712	0.460814093877172	0.0454545454545455	0	0.0454545454545455	0	1	0	0	FALSE	999
ABCC3	-1.01954021438024	0.361241400016795	0.108108108108108	0.0372256662475766	0.145333774355685	0	1	0	0	FALSE	999
ABCC4	-0.758870950301718	0.189427520746274	0.153846153846154	0.00986842105263158	0.163714574898785	0	1	0	0	FALSE	999
ABCC5	-0.33457582799872	0.196024894652393	0	0.049505126357634	0.049505126357634	0	1	0	0	FALSE	999
ABCC6	-0.0483036608718326	0.943605351234983	0	0	0	0	1	0	0	FALSE	999
ABCC6P1	0.487330525284318	0.400779537592554	0	0	0	0	1	0	0	FALSE	999
ABCC6P2	-0.0937458433563227	0.927013595588351	0	0	0	0	1	0	0	FALSE	999
ABCC8	-1.8040114708505	0.0531607918571382	0.304347826086957	0.0708994708994709	0.375247296986427	0	1	0.000583231412013147	0.000866249246186124	FALSE	350
ABCC9	-1.58128353502456	0.167959987092879	0.45	0.3	0.75	0	1	0	0	FALSE	999
ABCD1	0.0154950414769939	0.957703572380025	0	0	0	0	1	0	0	FALSE	999
ABCD2	-0.0334837866932052	0.981776885916638	0	0	0	0	1	0	0	FALSE	999
ABCD3	-0.107176235666078	0.572065688686607	0.0384615384615385	0.113484162895928	0.151945701357466	0	1	0	0	FALSE	999
ABCD4	0.187021672461794	0.451450806251802	0.09375	0	0.09375	0	1	0	0	FALSE	999
ABCE1	0.313294092383438	0.223917377792303	0.0216216216216216	0.00134952766531714	0.0229711492869388	0	1	0	0	FALSE	999
ABCF1	0.0625134147032416	0.711683482754588	0.0877152018928427	0.165616952132754	0.253332154025597	0	1	0	0	FALSE	999
ABCF2	0.118925345495752	0.594764456153006	0.105263157894737	0.0666666666666667	0.171929824561403	0	1	0	0	FALSE	999
ABCF3	0.179305179768588	0.234517139907016	0.318181818181818	0.100158903370861	0.418340721552679	0	1	0	0	FALSE	999
ABCG1	0.0833293460003741	0.838840733188026	0.0952380952380952	0.025	0.120238095238095	0	1	0	0	FALSE	999
ABCG2	-1.48296705791025	0.0934875838381973	0.142857142857143	0.0206971677559913	0.163554310613134	0	1	0.0499768762668126	0.000614905911953176	FALSE	352
ABCG4	-0.129709116934256	0.803001857107444	0.146341463414634	0.04	0.186341463414634	0	1	0	0	FALSE	999
ABCG5	0.931515885297922	0.300937591869019	0.0217391304347826	0	0.0217391304347826	0	1	0	0	FALSE	999
ABCG8	-0.480142283630699	0.5415923212413	0.0217391304347826	0	0.0217391304347826	0	1	0	0	FALSE	999
ABHD1	-0.018802879030233	0.952803020186854	0.109446237427342	0.0617538149114165	0.171200052338759	0	1	0	0	FALSE	999
ABHD10	0.206702313058119	0.587131280298769	0.1	0.0158374792703151	0.115837479270315	0	1	0	0	FALSE	999
ABHD11	0.0992824935001613	0.657744385690064	0	0	0	0	1	0	0	FALSE	999
ABHD12	-0.146289699826939	0.524094837805238	0.119047619047619	0.0550595238095238	0.174107142857143	0	1	0	0	FALSE	999
ABHD12B	0.151546889702237	0.671604684104774	0	0	0	0	1	0	0	FALSE	999
ABHD13	-0.858231578146324	0.281621588004956	0.113924050632911	0.0843340815563038	0.198258132189215	0	1	0	0	FALSE	999
ABHD14A	0.0784600109100952	0.75153302047818	0.072	0.0810990218159336	0.153099021815934	0	1	0	0	FALSE	999
ABHD14B	0.152229800810736	0.594790510090426	0.072655462184874	0.0542692302146084	0.126924692399482	0	1	0	0	FALSE	999
ABHD15	-0.44795429315105	0.142072241370961	0	0.0416666666666667	0.0416666666666667	0	1	0	0	FALSE	999
ABHD2	0.0494043187637025	0.83681800389445	0.0217391304347826	0.0180555555555556	0.0397946859903382	0	1	0	0	FALSE	999
ABHD3	0.420194053701263	0.0668897231502721	0.272727272727273	0.197797854319593	0.470525127046866	0	1	0	0	FALSE	999
ABHD4	-0.000541814346496139	0.998466352895327	0.204761904761905	0.103464795191852	0.308226699953757	0	1	0	0	FALSE	999
ABHD5	-0.501506091973719	0.180150904549751	0.222222222222222	0	0.222222222222222	0	1	0	0	FALSE	999
ABHD6	0.0877519753545013	0.817471160749508	0	0	0	0	1	0	0	FALSE	999
ABHD8	-0.243228476919555	0.473178340302377	0.0714285714285714	0	0.0714285714285714	0	1	0	0	FALSE	999
ABI1	-0.00437813417906341	0.979395920835131	0.00833333333333333	0.0232763559969442	0.0316096893302776	0	1	0	0	FALSE	999
ABI2	0.0325703440632541	0.940047988127113	0	0	0	0	1	0	0	FALSE	999
ABI3	-0.172376963442647	0.728192583094192	0.136363636363636	0.017175572519084	0.15353920888272	0	1	0	0	FALSE	999
ABI3BP	0.514839009017876	0.520442047171887	0.181818181818182	0	0.181818181818182	0	1	0	0	FALSE	999
ABL1	-0.245372272629162	0.335679495623543	0.0645161290322581	0.0204954954954955	0.0850116245277536	0	1	0	0	FALSE	999
ABL2	0.243813891082678	0.228084225150087	0.0340909090909091	0.074263468013468	0.108354377104377	0	1	0	0	FALSE	999
ABLIM1	0.278140240563038	0.583940468923646	0.00161290322580645	0.0152263862534261	0.0168392894792326	0	1	0	0	FALSE	999
ABLIM2	0.954626512655885	0.319367174519008	0.0282362105058176	0.111111111111111	0.139347321616929	0	1	0	0	FALSE	999
ABLIM3	-0.886464283692352	0.439650401917901	0.03125	0.00411522633744856	0.0353652263374486	0	1	0	0	FALSE	999
ABO	-1.00155436579032	0.454298889565945	0	0	0	0	1	0	0	FALSE	999
ABP1	-1.69621249603193	0.250404311380105	0.173288398650961	0.062712262669461	0.236000661320422	0	1	0	0	FALSE	999
ABR	0.561126052790161	0.368011748822303	0.0272655464190738	0.00997289627703332	0.0372384426961072	0	1	0	0	FALSE	999
ABRA	-0.350343988718623	0.31713002188144	0.029149056072133	0.0147792022792023	0.0439282583513353	0	1	0	0	FALSE	999
ABT1	0.0548292885098087	0.82731541411834	0.227272727272727	0.0796859022831563	0.306958629555884	0	1	0	0	FALSE	999
ABTB1	-0.405486009407272	0.264586270139395	0.0606060606060606	0.0050125313283208	0.0656185919343814	0	1	0	0	FALSE	999
ABTB2	0.840557035339326	0.18384044527816	0.260869565217391	0.0478070175438596	0.308676582761251	0	1	0	0	FALSE	999
ACAA1	-0.133368439556941	0.585818182571253	0.0287769784172662	0.0606060606060606	0.0893830390233268	0	1	0	0	FALSE	999
ACAA2	-0.262223254384655	0.553047762210845	0	0.0108560794044665	0.0108560794044665	0	1	0	0	FALSE	999
ACACA	0.283215589249487	0.317668310795907	0.0595152511040361	0.0220797720797721	0.0815950231838082	0	1	0	0	FALSE	999
ACACB	0.144723148060485	0.689938865191937	0.181818181818182	0.121779788838612	0.303597970656794	0	1	0	0	FALSE	999
ACAD10	0.208902017244428	0.297277595843031	0.0833333333333333	0.0822440087145969	0.16557734204793	0	1	0	0	FALSE	999
ACAD11	0.505359565485797	0.0768859358424142	0.0568181818181818	0.0369012011584295	0.0937193829766113	0	1	0	0	FALSE	999
ACAD8	0.251469267655128	0.303140917568944	0.0330578512396694	0.0591345942622775	0.0921924455019469	0	1	0	0	FALSE	999
ACAD9	0.299710457801407	0.130002626929058	0.192307692307692	0.125	0.317307692307692	0	1	0	0	FALSE	999
ACADL	0.354360456502026	0.617511842057114	0.0666666666666667	0	0.0666666666666667	0	1	0	0	FALSE	999
ACADM	0.125957336667428	0.658741564018133	0.032967032967033	0.0734429271003345	0.106409960067367	0	1	0	0	FALSE	999
ACADS	0.435530187332162	0.0901141394027106	0.145743944636678	0.0440899669388176	0.189833911575496	0	1	0	0	FALSE	999
ACADSB	-0.284696905102418	0.554809116594882	0.04	0.0350098819579814	0.0750098819579814	0	1	0	0	FALSE	999
ACADVL	0.0220232862644956	0.911149281690475	0.150176577808157	0.122845574423118	0.273022152231274	0	1	0	0	FALSE	999
ACAN	-0.228567613462499	0.857291059052022	0	0.036144578313253	0.036144578313253	0	1	0	0	FALSE	999
ACAP1	0.208258309887905	0.375902918127934	0.137820512820513	0.106053630432226	0.243874143252739	0	1	0	0	FALSE	999
ACAP2	-0.0398031068868008	0.830219878085852	0.2	0.0866346538615446	0.286634653861545	0	1	0	0	FALSE	999
ACAP3	-0.0261895071197271	0.937763800304196	0.0853658536585366	0.172290206870777	0.257656060529314	0	1	0	0	FALSE	999
ACAT1	0.3895966635607	0.174949729913507	0.315789473684211	0.0300751879699248	0.345864661654135	0	1	0	0	FALSE	999
ACAT2	0.526926740021151	0.0297830117251291	0	0.0477389174293199	0.0477389174293199	0	1	0	0	FALSE	999
ACBD3	0.145214570178527	0.399502571775166	0.0952380952380952	0.0886409126878335	0.183879007925929	0	1	0	0	FALSE	999
ACBD4	0.344079092198942	0.157675064640044	0.0755813953488372	0.0603389830508475	0.135920378399685	0	1	0	0	FALSE	999
ACBD5	0.295889979172657	0.0617970643986618	0	0	0	0	1	0	0	FALSE	999
ACBD6	0.163004167561962	0.459872402040813	0.1875	0.0582214661891404	0.24572146618914	0	1	0	0	FALSE	999
ACBD7	-0.292487654242451	0.480044974437616	0.210526315789474	0.0536036036036036	0.264129919393077	0	1	0	0	FALSE	999
ACCN1	0.24072807645708	0.681970475193298	0	0	0	0	1	0	0	FALSE	999
ACCN2	0.476998479290064	0.625348944939351	0	0	0	0	1	0	0	FALSE	999
ACCN3	-0.0294847045480382	0.944584648417844	0	0	0	0	1	0	0	FALSE	999
ACCN4	-1.60054548082812	0.0495616845218896	0	0	0	0	1	0	0	FALSE	999
ACCN5	-0.00196684217361298	0.997630892147355	0	0	0	0	1	0	0	FALSE	999
ACCS	-1.30335933390527	0.194930900231532	0.00354609929078014	0.00595238095238095	0.00949848024316109	0	1	0	0	FALSE	999
ACCSL	-0.0320793573750899	0.940264845311334	0	0.00714285714285714	0.00714285714285714	0	1	0	0	FALSE	999
ACD	-0.0781939765605992	0.751481587244674	0.101123595505618	0.0908718532996546	0.191995448805273	0	1	0	0	FALSE	999
ACE	-0.00777014588002256	0.97110061044845	0.295512414414853	0.104700921189763	0.400213335604616	0	1	0	0	FALSE	999
ACE2	1.07868766784719	0.0835915128821253	0	0	0	0	1	1.04110441000262e-16	0.000299222022742429	FALSE	3
ACER1	-1.51110230471949	0.0908215046829084	0	0	0	0	1	0	0	FALSE	999
ACER2	2.57312642921792	0.00500306092092519	0	0	0	0	1	0	0	FALSE	999
ACER3	0.0834855814287799	0.819095475468952	0.230769230769231	0	0.230769230769231	0	1	0	0	FALSE	999
ACHE	-2.3850850198017	0.104280080414716	0.06	0.0817395233903773	0.141739523390377	0	1	0	0	FALSE	999
ACIN1	0.0214092680345956	0.87309642662444	0.0381735911147676	0.0393984629918134	0.077572054106581	0	1	0	0	FALSE	999
ACLY	-0.018957448711963	0.911622143032992	0.0989010989010989	0.116913558375281	0.21581465727638	0	1	0	0	FALSE	999
ACMSD	0.641602608044544	0.228211794151449	0	0.0137931034482759	0.0137931034482759	0	1	0	0	FALSE	999
ACN9	-0.146956044795174	0.642163050985947	0.111111111111111	0.0475569358178054	0.158668046928916	0	1	0	0	FALSE	999
ACO1	-0.162356623710235	0.431112395020494	0.141418647632401	0.0400438365028592	0.18146248413526	0	1	0	0	FALSE	999
ACO2	0.0976361787352706	0.504215810026934	0.260869565217391	0.222222222222222	0.483091787439614	0	1	0	0	FALSE	999
ACOT1	0.184529878933613	0.458402814153247	0.0859118409680208	0.0623482998865646	0.148260140854585	0	1	0	0	FALSE	999
ACOT11	0.785717217746127	0.473512505342876	0.0512820512820513	0.133617775499253	0.184899826781304	0	1	0	0	FALSE	999
ACOT12	0.0511847665238112	0.937172445959696	0.121212121212121	0.00290697674418605	0.124119097956307	0	1	0	0	FALSE	999
ACOT13	0.0519158943939564	0.952132837531711	0.0545454545454545	0.102208254496584	0.156753709042039	0	1	0	0	FALSE	999
ACOT2	0.840118321714644	0.0105123352155519	0	0	0	0	1	1.04110441000262e-16	0.000299222022742429	FALSE	4
ACOT4	-0.367419439690026	0.612475781194644	0	0	0	0	1	0	0	FALSE	999
ACOT6	1.2286855518011	0.166048021763199	0	0.10572895368217	0.10572895368217	0	1	0	0	FALSE	999
ACOT7	-0.34029382951932	0.447856049323591	0.0754716981132075	0.176552260459406	0.252023958572614	0	1	0	0	FALSE	999
ACOT8	0.05169506509091	0.825337666434956	0.04	0	0.04	0	1	0	0	FALSE	999
ACOT9	-0.0322868828366918	0.894917697151238	0	0	0	0	1	0	0	FALSE	999
ACOX1	-0.0127004133273916	0.940511281987546	0.0625	0	0.0625	0	1	0	0	FALSE	999
ACOX2	1.38959923222379	0.109097580401592	0	0.085327312011029	0.085327312011029	0	1	0	0	FALSE	999
ACOX3	0.284839066869243	0.249530699142228	0.075	0	0.075	0	1	0	0	FALSE	999
ACOXL	0.0975093330261947	0.911809485974846	0.0689655172413793	0	0.0689655172413793	0	1	0	0	FALSE	999
ACP1	0.00802586779848458	0.963126791084432	0.0394088669950739	0.118469785575049	0.157878652570123	0	1	0	0	FALSE	999
ACP2	-0.0846534571568611	0.649476285087057	0.0413793103448276	0.168471720818291	0.209851031163119	0	1	0	0	FALSE	999
ACP5	0.0697040935932476	0.907069182315564	0.0333333333333333	0.142857142857143	0.176190476190476	0	1	0	0	FALSE	999
ACP6	-0.103911067235076	0.840643448845632	0	0.0520276292335116	0.0520276292335116	0	1	0	0	FALSE	999
ACPL2	0.167368913401107	0.681773238410681	0	0.136363636363636	0.136363636363636	0	1	0	0	FALSE	999
ACPP	-0.0299938234235979	0.966693905179449	0.0476190476190476	0	0.0476190476190476	0	1	0	0	FALSE	999
ACPT	-0.0499856140865532	0.923074331344175	0.0416666666666667	0.168273834539749	0.209940501206416	0	1	0	0	FALSE	999
ACR	1.57547647032115	0.0871730719168232	0.112685764777951	0.0419314280561253	0.154617192834077	0	1	1.04110441000262e-16	0.000299222022742429	FALSE	5
ACRBP	1.12822159392485	0.295371869955367	0.27664097794313	0.0639468651560942	0.340587843099225	0	1	0	0	FALSE	999
ACRC	-0.0724706643440083	0.8593707183183	0	0	0	0	1	0	0	FALSE	999
ACRV1	0.710263071603608	0.026134992391225	0.0285714285714286	0.0990574191108951	0.127628847682324	0	1	0	0	FALSE	999
ACSBG1	-0.946462459541952	0.338779630261337	0.0303030303030303	0	0.0303030303030303	0	1	0	0	FALSE	999
ACSBG2	-0.33877064484271	0.615191336864658	0	0.0574074074074074	0.0574074074074074	0	1	0	0	FALSE	999
ACSF2	0.807543112635186	0.015806456752563	0.0803808496515101	0.0334821428571429	0.113862992508653	0	1	0	0	FALSE	999
ACSF3	0.205811400802062	0.459130633140902	0.161904761904762	0.0650475263133491	0.226952288218111	0	1	0	0	FALSE	999
ACSL1	-0.934440570619878	0.103056299274376	0.0735294117647059	0.0726690928896811	0.146198504654387	0	1	0	0	FALSE	999
ACSL3	0.130857449687714	0.599777585353954	0.101351351351351	0.0701135490609175	0.171464900412269	0	1	0	0	FALSE	999
ACSL4	-0.0546149819658774	0.788433585370115	0	0	0	0	1	0	0	FALSE	999
ACSL5	0.319411556668356	0.0517796043155817	0	0.0590191143878169	0.0590191143878169	0	1	0	0	FALSE	999
ACSL6	0.24482853395032	0.849514690903309	0.11	0.0301200395235806	0.140120039523581	0	1	0	0	FALSE	999
ACSM1	-2.01375941335532	0.0182378141958174	0	0	0	0	1	0	0	FALSE	999
ACSM2A	0.114062687038718	0.444884569808299	0	0	0	0	1	0	0	FALSE	999
ACSM2B	-0.580939489758063	0.0785021940532184	0	0	0	0	1	0	0	FALSE	999
ACSM3	-0.511064760237854	0.381660082744459	0	0.00704225352112676	0.00704225352112676	0	1	0	0	FALSE	999
ACSM4	0.791853500248963	0.344097183281637	0.166666666666667	0.0147392290249433	0.18140589569161	0	1	0	0	FALSE	999
ACSM5	-1.7279027294624	0.15096221128398	0	0	0	0	1	0	0	FALSE	999
ACSS1	-0.284766302954295	0.380090858133056	0.1875	0.0397142857142857	0.227214285714286	0	1	0	0	FALSE	999
ACSS2	0.153474898307595	0.609653256466171	0.1	0.15453216374269	0.25453216374269	0	1	0	0	FALSE	999
ACSS3	-0.839802921085488	0.541473373098671	0.235294117647059	0.0681818181818182	0.303475935828877	0	1	0	0	FALSE	999
ACTA1	-2.79814279110948	0.0242533037629526	0.225806451612903	0.07468671679198	0.300493168404883	0	1	0.0545408046373424	0.00486597033960898	FALSE	350
ACTA2	0.0802105756634406	0.809228926462339	0.00737577639751553	0.0446428571428571	0.0520186335403727	0	1	0	0	FALSE	999
ACTB	0.0560044858023003	0.784208386933738	0.127871721137708	0.0572844488500168	0.185156169987725	0	1	0	0	FALSE	999
ACTBL2	-0.132388965703337	0.590419601233019	0	0.00284090909090909	0.00284090909090909	0	1	0	0	FALSE	999
ACTC1	-0.862312594032432	0.063555633823049	0	0	0	0	1	0.0120436083775946	0.00412626945304016	FALSE	350
ACTG1	0.2239861343744	0.295333973036793	0.302083333333333	0.120593920815603	0.422677254148936	0	1	0	0	FALSE	999
ACTG2	1.01948023041946	0.210398440608024	0	0.0603174603174603	0.0603174603174603	0	1	0	0	FALSE	999
ACTL6A	0.179543380994606	0.399414768696059	0.0588235294117647	0.0539464265652334	0.112769955976998	0	1	0	0	FALSE	999
ACTL6B	0.722457115373723	0.414704656200569	0.411764705882353	0.107858861267041	0.519623567149394	0	1	0	0	FALSE	999
ACTL7A	-0.115549241706705	0.881080426624403	0	0.1	0.1	0	1	0	0	FALSE	999
ACTL7B	0.576337730463266	0.354670995409165	0	0.126984126984127	0.126984126984127	0	1	0	0	FALSE	999
ACTL8	-1.18624826301569	0.0271977269896677	0	0	0	0	1	0	0	FALSE	999
ACTL9	-0.241207086356217	0.602347831197621	0	0.0564373897707231	0.0564373897707231	0	1	0	0	FALSE	999
ACTN1	-0.695069441237798	0.0632671380528639	0.0353982300884956	0	0.0353982300884956	0	1	0	0	FALSE	999
ACTN2	-0.261472548254305	0.785002065570244	0.2	0	0.2	0	1	0	0	FALSE	999
ACTN3	-0.843560081065492	0.40004759611195	0.191780821917808	0.169834307992203	0.361615129910011	0	1	0	0	FALSE	999
ACTN4	-0.064262206780425	0.731947086621101	0.158292682926829	0.140031897926635	0.298324580853464	0	1	0	0	FALSE	999
ACTR10	0.0728390074256078	0.529671022701752	0.25	0.0470271274619101	0.29702712746191	0	1	0	0	FALSE	999
ACTR1A	0.0629133186881559	0.682640490393092	0	0.0772894743482979	0.0772894743482979	0	1	0	0	FALSE	999
ACTR1B	0.0708816920273652	0.764961432354953	0.217391304347826	0.0194549703170393	0.236846274664865	0	1	0	0	FALSE	999
ACTR2	-0.0597401819975474	0.718983434143689	0.104010025062657	0.0320869006943437	0.136096925757	0	1	0	0	FALSE	999
ACTR3	0.581284122700838	0.0820923447237648	0.0591187658495351	0.0402688250523895	0.0993875909019246	0	1	0	0	FALSE	999
ACTR3B	0.224182233763198	0.329826892219181	0.0571428571428571	0.034510582010582	0.0916534391534392	0	1	0	0	FALSE	999
ACTR3C	0.230526388425479	0.287132961997584	0	0.0907608695652174	0.0907608695652174	0	1	0	0	FALSE	999
ACTR5	0.176028325768215	0.501177811714327	0.230769230769231	0.141959845713089	0.37272907648232	0	1	0	0	FALSE	999
ACTR6	0.520490484441991	0.00911333818278532	0.0909090909090909	0.0263157894736842	0.117224880382775	0	1	0	0	FALSE	999
ACTR8	0.250846476954965	0.106374115935602	0.176470588235294	0.0412069457230037	0.217677533958298	0	1	0	0	FALSE	999
ACTRT1	0.0560044858023003	0.631356395739537	0	0	0	0	1	0	0	FALSE	999
ACTRT2	0.0560044858023003	0.631356395739537	0.0789473684210526	0.109297626499226	0.188244994920279	0	1	0	0	FALSE	999
ACVR1	0.346285791356959	0.696000077606626	0.094681861348528	0.0487847222222222	0.14346658357075	0	1	0	0	FALSE	999
ACVR1B	0.180182926114964	0.581429744974602	0.259259259259259	0.104166666666667	0.363425925925926	0	1	0	0	FALSE	999
ACVR1C	-1.10556551890093	0.10117540526755	0.0256410256410256	0.00416666666666667	0.0298076923076923	0	1	0	0	FALSE	999
ACVR2A	-0.503888797599414	0.478397543404176	0.108108108108108	0.0343563512361466	0.142464459344255	0	1	0	0	FALSE	999
ACVR2B	0.591097134487284	0.413773612253212	0	0.0287769784172662	0.0287769784172662	0	1	0	0	FALSE	999
ACVRL1	-1.04260159300216	0.405126940885697	0.230769230769231	0.0694444444444444	0.300213675213675	0	1	0	0	FALSE	999
ACY1	-0.0954837903957135	0.769686232029521	0.072655462184874	0.0542692302146084	0.126924692399482	0	1	0	0	FALSE	999
ACY3	2.84078855743354	0.00460899709104153	0	0	0	0	1	0	0	FALSE	999
ACYP1	0.529789051962286	0.104120951654921	0.0575666163901458	0.0821219203572145	0.13968853674736	0	1	0	0	FALSE	999
ACYP2	-0.0136938533848656	0.958311376036144	0.15	0.0556666666666667	0.205666666666667	0	1	0	0	FALSE	999
ADA	0.442559091053907	0.47747002448018	0.128965056843442	0.0444901833143199	0.173455240157762	0	1	0	0	FALSE	999
ADAD1	0.02216430061765	0.954702435177793	0.04	0	0.04	0	1	0	0	FALSE	999
ADAD2	0.393056527533611	0.291459809899923	0.05790273556231	0.118178144765845	0.176080880328155	0	1	0	0	FALSE	999
