Gene	logFC	P.Value	Promoter	Enhancer	Methylation_score	nes	pval	Eigen_centrality	Page_rank	TF	Cluster
A1BG	1.44539901540254	0.00627943729502158	0	0	0	0	1	0	0	FALSE	999
A1CF	0.500093416034045	0.157374639943013	0	0	0	0	1	0	0	FALSE	999
A2BP1	-0.125351148294926	0.805279427709256	0	0	0	0	1	0	0	FALSE	999
A2LD1	1.19278510244201	0.0724536076633886	0	0	0	0	1	0	0	FALSE	999
A2M	2.3629345968789	0.0015596606250466	0.136290322580645	0.00248138957816377	0.138771712158809	0	1	0.0749191769109006	0.00165939276164862	FALSE	1
A2ML1	0.526164968015652	0.458724111631073	0.114130434782609	0.00334448160535117	0.11747491638796	0	1	0	0	FALSE	999
A4GALT	-2.8611239475696	0.0463956928885186	0	0	0	0	1	0	0	FALSE	999
A4GNT	0.0695605670561008	0.939626213648584	0	0	0	0	1	0	0	FALSE	999
AAA1	0.0560044858023003	0.631356395739537	0	0	0	0	1	0	0	FALSE	999
AAAS	0.0229220552674532	0.916129617130247	0.125	0.0857117809571827	0.210711780957183	0	1	0	0	FALSE	999
AACS	0.215638754666659	0.426591790600832	0.277777777777778	0.0833333333333333	0.361111111111111	0	1	0	0	FALSE	999
AACSL	0.581126460328308	0.0174305502248324	0	0	0	0	1	0	0	FALSE	999
AADAC	0.113738768188225	0.423186111794509	0.000666222518321119	0.0355293440736479	0.036195566591969	0	1	0	0	FALSE	999
AADACL2	0.102366801439461	0.8258059098184	0	0	0	0	1	0	0	FALSE	999
AADACL3	0.526536348807965	0.0954348599607761	0.0526315789473684	0	0.0526315789473684	0	1	0	0	FALSE	999
AADACL4	0.213490730398755	0.37109052429792	0	0.0262784090909091	0.0262784090909091	0	1	0	0	FALSE	999
AADAT	-1.61532483494152	0.19044639406695	0.0178571428571429	0	0.0178571428571429	0	1	0	0	FALSE	999
AAGAB	-0.0816250337640634	0.567591229793923	0.0263157894736842	0.0512820512820513	0.0775978407557355	0	1	0	0	FALSE	999
AAK1	0.131622099348114	0.646074643291418	0.25	0	0.25	0	1	0	0	FALSE	999
AAMP	0.0934805541939703	0.723269693071768	0.0280373831775701	0.0764421105130286	0.104479493690599	0	1	0	0	FALSE	999
AANAT	-0.875560087615523	0.192969806797394	0.0540540540540541	0.0713333333333333	0.125387387387387	0	1	0	0	FALSE	999
AARS	0.391101986649236	0.124188229155873	0.109090909090909	0.0562126732244747	0.165303582315384	0	1	0	0	FALSE	999
AARS2	0.109485919236977	0.665256214624139	0.133333333333333	0.173370688762645	0.306704022095979	0	1	0	0	FALSE	999
AARSD1	0.0587903018701583	0.842516546331448	0.05	0	0.05	0	1	0	0	FALSE	999
AASDH	0.179728361413014	0.306074716878933	0.0641878446756496	0.0267670559610506	0.0909549006367002	0	1	0	0	FALSE	999
AASDHPPT	0.32415520885333	0.144543926356171	0.0769230769230769	0.0613506863506863	0.138273763273763	0	1	0	0	FALSE	999
AASS	-0.697008736904459	0.554532424807072	0.00480769230769231	0.0384615384615385	0.0432692307692308	0	1	0	0	FALSE	999
AATF	0.0655826991422996	0.697198645192594	0.0869565217391304	0.0123456790123457	0.0993022007514761	0	1	0	0	FALSE	999
AATK	-1.44592570218519	0.00468683315450547	0.0357420357420357	0.0571658615136876	0.0929078972557233	0	1	1.04110441000262e-16	0.000299222022742429	FALSE	2
ABAT	0.484494091056593	0.0660244237940035	0.111111111111111	0.0326745718050066	0.143785682916118	0	1	0	0	FALSE	999
ABCA1	0.561372762026664	0.415058312106698	0	0.042998676545027	0.042998676545027	0	1	0	0	FALSE	999
ABCA10	-0.600163031940951	0.332127664361015	0	0.049645390070922	0.049645390070922	0	1	0	0	FALSE	999
ABCA11P	0.470835701464396	0.386072010688263	0	0	0	0	1	0	0	FALSE	999
