from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
CACNA2D1	CAMK2A		0	PPrel: activated by, phosphorylation	<-	1	PPrel
CACNA2D1	RASGRF2		0	PPrel: compound	-	1	PPrel
CACNG1	CAMK2A		0	PPrel: activated by, phosphorylation	<-	1	PPrel
CACNG1	RASGRF2		0	PPrel: compound	-	1	PPrel
CAMK2A	CREB1		0	PPrel: activation; PPrel: activation, phosphorylation; activate	->	1	PPrel
CAMK2A	FLNB		0	PPrel: phosphorylation	->	1	PPrel
CAMK2A	GRIN2B		0	complex; input	-	1	PPrel
CAMK2A	RASGRF2		0	complex; input	-	1	PPrel
CAMK2A	SCN5A		0	PPrel: activation, phosphorylation; reaction	->	1	ECrel
CAMK2A	VDAC1		0	PPrel: activation, indirect effect	->	1	PPrel
CARD9	MAPK11		0	PPrel: activation	->	1	PPrel
CARD9	RELA		0	PPrel: activation, indirect effect	->	1	PPrel
CASR	GNAI1		0	PPrel: activation; complex; input	->	1	PPrel
CC2D2A	FGFR1OP		0	complex; input	-	1	PPrel
CC2D2A	ODF2		0	complex; input	-	1	PPrel
CC2D2A	RAB3IP		0	complex; input	-	1	PPrel
CCL11	CCL2		0	predicted	-	1	predicted
CCL11	CCR3		0	PPrel: activation; PPrel: activation, binding/association; complex; predicted; reaction	->	1	ECrel
CCL11	MAP2K1		0	complex; reaction	-	1	ECrel
CCL11	REL		0	predicted	-	0.54	predicted
CCL11	RELA		0	predicted	-	0.54	predicted
CCL19	CCR3		0	PPrel: activation, binding/association	->	1	PPrel
CCL19	CXCL13		0	predicted	-	0.98	predicted
CCL19	GNAI1		0	complex; input	-	1	PPrel
CCL19	REL		0	predicted	-	0.54	predicted
CCL19	RELA		0	predicted	-	0.54	predicted
CCL2	CCR3		0	PPrel: activation, binding/association; predicted	->	1	PPrel
CCL2	COL18A1		0	predicted	-	0.64	predicted
CCL2	REL		0	expression regulated by	<-	1	GErel
CCL2	RELA		0	GErel: expression by; PPrel: activated by; expression regulated by	<-	1	GErel
CCL2	SMAD3		0	expression regulated by	<-	1	GErel
CCL24	CCR3		0	PPrel: activation; PPrel: activation, binding/association	->	1	PPrel
CCL24	REL		0	predicted	-	0.54	predicted
CCL24	RELA		0	predicted	-	0.54	predicted
CCR3	CXCL13		0	PPrel: activated binding/association	<-	1	PPrel
CCR3	GNAI1		0	PPrel: activation; complex; input	->	1	PPrel
CCR3	RARRES2		0	predicted	-	0.54	predicted
CD180	LY86		0	complex	-	1	PPrel
CD40LG	ITGB4		0	predicted	-	0.54	predicted
CD40LG	ITGB6		0	predicted	-	0.54	predicted
CD40LG	MAP3K1		0	complex; input	-	1	PPrel
CD40LG	MAPK11		0	activate	->	1	PPrel
CD40LG	PSMB3		0	catalyzed by	<-	1	PPrel
CD40LG	PSTPIP1		0	predicted	-	0.54	predicted
CD40LG	REL		0	expression regulated by	<-	1	GErel
CD40LG	RELA		0	activate; expression regulated by; inhibit	<-	1	GErel
CD53	FLI1		0	predicted	-	0.59	predicted
CD53	WAS		0	predicted	-	0.59	predicted
CDC20	CDC26		0	PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input	<->	1	PPrel
CDC20	NEUROD2		0	predicted	-	0.54	predicted
CDC20	PPP3R2		0	PPrel: activated by, dephosphorylation	<-	1	PPrel
CDC20	PSMB3		0	catalyzed by	<-	1	PPrel
CDC20	RPS27A		0	catalyze; complex; input	->	1	PPrel
CDC20	SEH1L		0	complex; input	-	1	PPrel
CDC20	SKA2		0	complex; input	-	1	PPrel
CDC20	SPC25		0	complex; input	-	1	PPrel
CDC20	SYDE2		0	predicted	-	0.64	predicted
CDC20	UBC		0	catalyze; complex; input	->	1	PPrel
CDC20	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
CDC26	PPP3R2		0	PPrel: activated by, dephosphorylation	<-	1	PPrel
CDC26	PSMB3		0	catalyzed by	<-	1	PPrel
CDC26	RELA		0	reaction	-	1	ECrel
CDC26	RPS27A		0	catalyze; complex; input	->	1	PPrel
CDC26	UBC		0	catalyze; complex; input	->	1	PPrel
CDC26	UBE2D1		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
CDC42BPB	RHOB		0	predicted	-	1	predicted
CDH22	PCDHA1		0	input	-	1	other
CDH22	PCDHA11		0	input	-	1	other
CDH22	PCDHA3		0	input	-	1	other
CDH22	PCDHAC2		0	input	-	1	other
CDH22	PCDHB10		0	input	-	1	other
CDH22	PCDHGC5		0	input	-	1	other
CDR2	MYC		0	predicted	-	0.77	predicted
CGN	RPS27A		0	complex; input	-	1	PPrel
CGN	UBC		0	complex; input	-	1	PPrel
CHMP4B	RPS27A		0	activate; complex; input	->	1	PPrel
CHMP4B	UBC		0	activate; complex; input	->	1	PPrel
CHST7	DCN		0	catalyze	->	1	PPrel
CLUAP1	DYNC2H1		0	complex; input	-	1	PPrel
CLUAP1	TTC21B		0	complex; input	-	1	PPrel
CNGA4	RAB3IP		0	complex; input	-	1	PPrel
CNGB3	PDE6C		0	activated by	<-	1	PPrel
CNTF	GHR		0	PPrel: activation	->	1	PPrel
CNTF	IL12RB2		0	PPrel: activation	->	1	PPrel
CNTF	IL2RB		0	PPrel: activation	->	1	PPrel
CNTF	IL3RA		0	PPrel: activation	->	1	PPrel
CNTF	IL7R		0	PPrel: activation	->	1	PPrel
CNTF	OSMR		0	PPrel: activation	->	1	PPrel
COL16A1	FBN1		0	predicted	-	0.98	predicted
COL16A1	FLNB		0	complex; input	-	1	PPrel
COL16A1	ITGAE		0	complex; input	-	1	PPrel
COL16A1	ITGB4		0	complex; input	-	1	PPrel
COL16A1	ITGB6		0	complex; input	-	1	PPrel
COL16A1	PTK2B		0	catalyzed by; complex; input	<-	1	PPrel
COL18A1	LAMC1		0	complex; input	-	1	PPrel
CPNE1	MAP2K1		0	predicted	-	0.64	predicted
CPNE1	RELA		0	predicted	-	0.64	predicted
CPSF1	SEH1L		0	activated by	<-	1	PPrel
CPSF1	SMNDC1		0	complex; input	-	1	PPrel
CPSF1	THOC3		0	complex; input	-	1	PPrel
CREB1	BDNF	A	1			0	other
CREB1	CRH		0	GErel: expression	->	1	GErel
CREB1	CYP17A1	A	1	GErel: expression	->	1	GErel
CREB1	DCC		0	predicted	-	0.64	predicted
CREB1	ETV3	A	1	expression regulates	->	1	GErel
CREB1	G6PC2		0	GErel: expression	->	1	GErel
CREB1	HIF1A		0	reaction	-	1	ECrel
CREB1	ID1		0	predicted	-	0.64	predicted
CREB1	ID2		0	expression regulates	->	1	GErel
CREB1	IL2	A	1	expression regulates	->	1	GErel
CREB1	MAP3K1		0	activated by	<-	1	PPrel
CREB1	MAPK11		0	PPrel: activated, indirect effect; activated by	<-	1	PPrel
CREB1	MYC		0	activate; inhibited by	|->	1	PPrel
CREB1	NFATC2		0	predicted	-	0.64	predicted
CREB1	NOS2		0	predicted	-	0.54	predicted
CREB1	NOTCH2		0	complex; input	-	1	PPrel
CREB1	NPAS2		0	reaction	-	1	ECrel
CREB1	NPC1		0	expression regulates	->	1	GErel
CREB1	NR4A3	A	1			0	other
CREB1	NR5A1		0	expression regulates	->	1	GErel
CREB1	PLAT	A	-1	expression regulates	->	1	GErel
CREB1	RUNX1		0	reaction	-	1	ECrel
CREB1	SMAD3		0	reaction	-	1	ECrel
CREB1	VEGFC		0	GErel: expression	->	1	GErel
CREB1	UGT8	A	1	expression regulates	->	1	GErel
CREB1	TINAGL1		0	expression regulates	->	1	GErel
CRH	CRHBP		0	complex; input	-	1	PPrel
CSF1	MYC		0	expression regulated by	<-	1	GErel
CSF1	RELA		0	predicted	-	0.54	predicted
CSF1	SEMA7A		0	predicted	-	0.92	predicted
CSGALNACT1	DCN		0	catalyze	->	1	PPrel
CXCL13	GNAI1		0	complex; input	-	1	PPrel
CXXC5	SMAD3		0	predicted	-	0.64	predicted
CYP17A1	NR5A1		0	GErel: expression by	<-	1	GErel
CYP1A2	GSTM3		0	ECrel: compound	-	1	ECrel
CYP1A2	GSTM5		0	ECrel: compound	-	1	ECrel
CYP1A2	MGST1		0	ECrel: compound	-	1	ECrel
CYP2C8	GSTM3		0	ECrel: compound	-	1	ECrel
CYP2C8	GSTM5		0	ECrel: compound	-	1	ECrel
CYP2C8	MGST1		0	ECrel: compound	-	1	ECrel
CYP4A11	RXRA		0	GErel: expression by	<-	1	GErel
DAPP1	MAP3K1		0	activate	->	1	PPrel
DCC	DSCAM		0	complex; input	-	1	PPrel
DCC	MAP2K1		0	activate	->	1	PPrel
DCC	NTN1		0	PPrel: activated by; complex; input	<-	1	PPrel
DCN	IGF1		0	PPrel: binding/association	-	1	PPrel
DCN	LAMC1		0	predicted	-	0.65	predicted
DCN	MYC		0	expression regulated by	<-	1	GErel
DDOST	RPL11		0	complex; input	-	1	PPrel
DDOST	RPL24		0	complex; input	-	1	PPrel
DDOST	RPL3		0	complex; input	-	1	PPrel
DDOST	RPS18		0	complex; input	-	1	PPrel
DDOST	RPS27A		0	complex; input	-	1	PPrel
DDOST	SSR1		0	complex	-	1	PPrel
DDOST	VDAC1		0	predicted	-	0.78	predicted
DGKA	PLCE1		0	ECrel: compound	-	1	ECrel
DLGAP1	HOMER2		0	complex; input	-	1	PPrel
DLGAP1	NLGN1		0	complex; input	-	1	PPrel
DLGAP2	HOMER2		0	complex; input	-	1	PPrel
DLGAP2	NLGN1		0	complex; input	-	1	PPrel
DMC1	H2AFX		0	complex; input	-	1	PPrel
DMC1	MND1		0	activated by	<-	1	PPrel
DNAH3	TUBB6		0	complex	-	1	PPrel
DNAH5	TUBB6		0	complex	-	1	PPrel
DNAH7	TUBB6		0	complex	-	1	PPrel
DNAJC2	ID1		0	predicted	-	0.77	predicted
DNAJC2	MYC		0	expression regulated by	<-	1	GErel
DNAJC6	IL7R		0	complex; input	-	1	PPrel
DNAJC6	LDLRAP1		0	complex; input	-	1	PPrel
DNAJC6	RPS27A		0	complex; input	-	1	PPrel
DNAJC6	UBC		0	complex; input	-	1	PPrel
DPF1	SMARCE1		0	complex	-	1	PPrel
DSCAM	MAPK11		0	catalyze	->	1	PPrel
DSCAM	NTN1		0	complex; input	-	1	PPrel
DSCAM	NTN3		0	predicted	-	0.54	predicted
DUSP5	MAPK11		0	PPrel: inhibition, dephosphorylation; inhibite	-|	1	PPrel
DYNC2H1	RILP		0	PPrel: activated, indirect effect; complex	<-	1	PPrel
DYNC2H1	TTC21B		0	complex; input	-	1	PPrel
DYNC2H1	TUBB6		0	PPrel: binding/association; complex	-	1	PPrel
ECM1	IL2RB		0	predicted	-	0.99	predicted
ECT2	RHOB		0	catalyze; predicted	->	1	PPrel
EEF1A1	EEF1D		0	catalyzed by; input	<-	1	PPrel
EEF1A1	PABPC4		0	predicted	-	0.64	predicted
EEF1A1	RPL11		0	catalyzed by; complex; input	<-	1	PPrel
EEF1A1	RPL24		0	catalyzed by; complex; input	<-	1	PPrel
EEF1A1	RPL3		0	catalyzed by; complex; input	<-	1	PPrel
EEF1A1	RPS18		0	catalyzed by; complex; input	<-	1	PPrel
EEF1A1	RPS27A		0	catalyzed by; complex; input	<-	1	PPrel
EEF1D	RELA		0	predicted	-	0.64	predicted
ELL3	SUPT4H1		0	activated by	<-	1	PPrel
EPHA8	NGEF		0	PPrel: activation	->	1	PPrel
EPO	GHR		0	PPrel: activation	->	1	PPrel
EPO	HIF1A		0	GErel: expression by; expression regulated by	<-	1	GErel
EPO	IL12RB2		0	PPrel: activation	->	1	PPrel
EPO	IL2RB		0	PPrel: activation	->	1	PPrel
EPO	IL3RA		0	PPrel: activation	->	1	PPrel
EPO	IL7R		0	PPrel: activation	->	1	PPrel
EPO	IRS2		0	activate; complex; input	->	1	PPrel
EPO	OSMR		0	PPrel: activation	->	1	PPrel
EPO	SH2B3		0	inhibited by	|-	1	other
EPO	SMAD3		0	expression regulated by	<-	1	GErel
EPO	VAV1		0	complex; input	-	1	PPrel
ETV3	MYC		0	predicted	-	0.54	predicted
ETV4	MYC		0	expression regulated by	<-	1	GErel
EYA1	H2AFX		0	catalyzed by	<-	1	PPrel
EYA1	NR2E3		0	predicted	-	0.5	predicted
EYA1	NR5A1		0	predicted	-	0.5	predicted
EYA1	NR5A2		0	predicted	-	0.5	predicted
EYA1	SIX3		0	predicted	-	0.54	predicted
EYA1	SIX4		0	predicted	-	0.54	predicted
EYA1	SIX5		0	predicted	-	0.54	predicted
F13A1	SERPIND1		0	inhibited by	|-	1	other
F8	HLF		0	expression regulated by	<-	1	GErel
F8	LMAN1		0	complex; input	-	1	PPrel
F8	SERPIND1		0	inhibited by	|-	1	other
F8	PROS1		0	catalyzed by	<-	1	PPrel
FBN1	FBN2		0	predicted	-	0.98	predicted
FBN1	ITGB6		0	complex; input	-	1	PPrel
FBN1	LAMC1		0	predicted	-	0.59	predicted
FBXL20	FBXL7		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL20	FBXO10		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL20	FBXO15		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL20	RNF213		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL20	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL20	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL7	FBXO10		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL7	FBXO15		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL7	PSMB3		0	catalyzed by	<-	1	PPrel
FBXL7	RNF213		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXL7	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXL7	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO10	FBXO15		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXO10	RNF213		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXO10	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO10	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO15	RNF213		0	catalyze; catalyzed by; input	<->	1	PPrel
FBXO15	RPS27A		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FBXO15	UBC		0	catalyze; catalyzed by; complex; input	<->	1	PPrel
FCER1A	NFATC2		0	activate	->	1	PPrel
FCER1A	VAV1		0	activate; reaction	->	1	ECrel
FCN2	MASP1		0	complex	-	1	PPrel
FGF17	FLRT3		0	complex; input	-	1	PPrel
FGF17	RPS27A		0	catalyze; complex; input	->	1	PPrel
FGF17	UBC		0	catalyze; complex; input	->	1	PPrel
FGFR1OP	ODF2		0	complex	-	1	PPrel
FGFR1OP	RAB3IP		0	complex; input	-	1	PPrel
FLI1	ID2	A	1	expression regulates	->	1	GErel
FLI1	NR5A1		0	expression regulates	->	1	GErel
FLI1	RUNX1		0	complex; input	-	1	PPrel
FLI1	SMAD3		0	predicted	-	0.64	predicted
FLNB	ITGAE		0	complex; input	-	1	PPrel
FLNB	ITGB4		0	PPrel: binding/association; complex; input	-	1	PPrel
FLNB	ITGB6		0	PPrel: binding/association; complex; input	-	1	PPrel
FLNB	MYOZ1		0	predicted	-	0.64	predicted
FLNB	PTK2B		0	catalyzed by; complex; input	<-	1	PPrel
FOXH1	SMAD3		0	activate; complex; inhibit; inhibited by; input	|-	1	PPrel
FOXP3	MAP2K1		0	predicted	-	0.54	predicted
FOXP3	NFATC2		0	activated by; complex; input	<-	1	PPrel
FOXP3	RORC		0	PPrel: inhibition	-|	1	PPrel
FOXP3	RUNX1		0	PPrel: binding/association; activated by; complex; inhibited by; input	-	1	PPrel
FOXP3	RXRA		0	GErel: expression by	<-	1	GErel
FOXP3	SMAD3		0	GErel: expression by	<-	1	GErel
FOXP3	SMARCE1		0	predicted	-	0.54	predicted
FRZB	FZD10		0	inhibit	-|	1	other
FRZB	FZD3		0	inhibit; reaction	-|	1	ECrel
FRZB	WNT3		0	inhibite	-|	1	other
FRZB	WNT2B		0	inhibit	-|	1	other
FRZB	WNT7B		0	inhibite	-|	1	other
FZD10	ROR2		0	PPrel: binding/association	-	1	PPrel
FZD10	WNT3		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
FZD10	WNT2B		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
FZD10	WNT7B		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
FZD3	ROR2		0	PPrel: binding/association	-	1	PPrel
FZD3	WNT3		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
FZD3	WNT2B		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
FZD3	WNT7B		0	PPrel: activated by; PPrel: activated by, phosphorylation; complex; input	<-	1	PPrel
G6PC2	PRKAG3		0	PPrel: inhibited, indirect effect	|-	1	PPrel
GALNT2	MUC12		0	catalyze	->	1	PPrel
GALNT4	MUC12		0	catalyze	->	1	PPrel
GHR	IFNA17		0	PPrel: activated by	<-	1	PPrel
GHR	IFNA2		0	PPrel: activated by	<-	1	PPrel
GHR	IL2		0	PPrel: activated by	<-	1	PPrel
GHR	IL5		0	PPrel: activated by	<-	1	PPrel
GHR	IRS2		0	catalyze	->	1	PPrel
GJA3	GJA9		0	predicted	-	0.97	predicted
GJA3	GJB6		0	predicted	-	0.97	predicted
GJA3	GJB7		0	predicted	-	0.97	predicted
GJA9	GJB7		0	predicted	-	0.97	predicted
GJB6	GJB7		0	predicted	-	0.97	predicted
GLB1	NEU4		0	complex	-	1	PPrel
GNAI1	GNAZ		0	catalyze; catalyzed by; input; reaction	<->	1	ECrel
GNAI1	GNB5		0	PPrel: binding/association; PPrel: dissociation	-	1	PPrel
GNAI1	GPR55		0	complex; input	-	1	PPrel
GNAI1	KCNJ6		0	PPrel: activation	->	1	PPrel
GNAI1	MAPK11		0	PPrel: activation; PPrel: activation, phosphorylation, indirect effect	->	1	PPrel
GNAI1	MMP16		0	PPrel: activation	->	1	PPrel
GNAI1	MMP17		0	PPrel: activation	->	1	PPrel
GNAI1	NPY2R		0	complex; input	-	1	PPrel
GNAI1	PIK3R6		0	PPrel: activation; PPrel: activation, indirect effect	->	1	PPrel
GNAI1	RGS19		0	activated by; catalyzed by; complex; input	<-	1	PPrel
GNAI1	RGS7		0	activated by; catalyzed by; complex; input	<-	1	PPrel
GNAI1	S1PR1		0	PPrel: activated by; complex; input	<-	1	PPrel
GNAI1	SMO		0	activated by	<-	1	PPrel
GNAI1	HRH4		0	complex; input	-	1	PPrel
GNAI1	GPR143		0	predicted	-	0.64	predicted
GNAI1	SCN1A		0	PPrel: inhibition	-|	1	PPrel
GNAI1	TAS2R1		0	complex; input	-	1	PPrel
GNAI1	TAS2R19		0	complex; input	-	1	PPrel
GNAI1	TAS2R20		0	complex; input	-	1	PPrel
GNAI1	TAS2R31		0	complex; input	-	1	PPrel
GNAI1	TAS2R38		0	complex; input	-	1	PPrel
GNAI1	TAS2R39		0	complex; input	-	1	PPrel
GNAI1	TAS2R46		0	complex; input	-	1	PPrel
GNAI1	TAS2R5		0	complex; input	-	1	PPrel
GNAI1	TAS2R50		0	complex; input	-	1	PPrel
GNAZ	S1PR1		0	complex; input	-	1	PPrel
GNAZ	SMO		0	activated by	<-	1	PPrel
GNB5	KCNJ6		0	PPrel: activation	->	1	PPrel
GNB5	MAPK11		0	PPrel: activation	->	1	PPrel
GNB5	PDE6A		0	activate	->	1	PPrel
GNB5	PDE6C		0	activate	->	1	PPrel
GNB5	PIK3R6		0	PPrel: activation	->	1	PPrel
GNB5	PRKAG3		0	PPrel: activation	->	1	PPrel
GNB5	RASGRF2		0	PPrel: activation	->	1	PPrel
GNB5	RGS7		0	complex; input	-	1	PPrel
GNB5	RRAS2		0	PPrel: activation	->	1	PPrel
GNB5	SCN1A		0	PPrel: inhibition	-|	1	PPrel
GPIHBP1	LPL		0	complex; input	-	1	PPrel
GPR55	GPR65		0	predicted	-	0.97	predicted
GPR65	SMAD3		0	predicted	-	0.54	predicted
GPS2	HOXA1		0	predicted	-	0.64	predicted
GPS2	RXRA		0	activated by; complex; input	<-	1	PPrel
GPS2	TGS1		0	activated by; inhibit	<-|	1	PPrel
GRAP2	MAP3K1		0	activate	->	1	PPrel
GRAP2	VAV1		0	catalyze; catalyzed by; complex; input; reaction	<->	1	ECrel
GRAP2	WAS		0	activate; complex; input	->	1	PPrel
GRAP2	ZAP70		0	activated by; catalyzed by; reaction	<-	1	ECrel
GRIK5	GRIN2B		0	complex	-	1	PPrel
GRIK5	GRIN2C		0	complex	-	1	PPrel
GRIN2B	KIF17		0	complex; input	-	1	PPrel
GRIN2B	LIN7A		0	complex; input	-	1	PPrel
GRIN2B	RASGRF2		0	complex; input	-	1	PPrel
GSTM3	GSTM5		0	predicted	-	0.98	predicted
GTSF1	RXRA		0	expression regulated by	<-	1	GErel
H2AFX	HIST1H2BB		0	complex	-	1	PPrel
