from	to	confidence	Tf_Regulation	PPI_Annotation	Direction_PPI	Score_PPI	Cleaned_PPI_annotation
A2M	RELA		0	expression regulated by	<-	1	GErel
A2M	RHOB		0	catalyze	->	1	PPrel
A2M	SERPING1		0	predicted	-	0.98	predicted
ABCC8	KCNJ6		0	predicted	-	0.54	predicted
ACTA1	ACTC1		0	predicted	-	0.92	predicted
ACTA1	CKM		0	predicted	-	0.59	predicted
ACTA1	HIF1A		0	predicted	-	0.64	predicted
ACTA1	MMP16		0	catalyzed by	<-	1	PPrel
ACTA1	MMP20		0	catalyzed by	<-	1	PPrel
ACTA1	MMP28		0	catalyzed by	<-	1	PPrel
ACTA1	MYH11		0	complex; input	-	1	PPrel
ACTA1	MYH4		0	complex; input	-	1	PPrel
ACTA1	OCLN		0	predicted	-	0.64	predicted
ACTA1	TTN		0	predicted	-	0.64	predicted
ACTC1	GRIN2B		0	predicted	-	0.54	predicted
ACTC1	MMP16		0	catalyzed by	<-	1	PPrel
ACTC1	MMP20		0	catalyzed by	<-	1	PPrel
ACTC1	MMP28		0	catalyzed by	<-	1	PPrel
ACTC1	MYH11		0	complex; input	-	1	PPrel
ACTC1	MYH4		0	complex; input	-	1	PPrel
ACTC1	TPM2		0	PPrel: binding/association	-	1	PPrel
ACTC1	WAS		0	predicted	-	0.98	predicted
ADAM15	SH3RF1		0	predicted	-	0.64	predicted
ADAM22	LGI1		0	complex; input	-	1	PPrel
ADAMTS13	F8		0	predicted	-	0.64	predicted
ADRA2C	GNAI1		0	complex; input	-	1	PPrel
ADRA2C	GNAZ		0	complex; input	-	1	PPrel
AHRR	RXRA		0	activated by; inhibit	<-|	1	PPrel
AHRR	SNAI3		0	predicted	-	0.54	predicted
AHRR	TGS1		0	activated by; inhibit	<-|	1	PPrel
ALB	APOC2		0	predicted	-	0.58	predicted
ALB	HBA1		0	predicted	-	0.64	predicted
ALDH1A1	NOS2		0	predicted	-	0.64	predicted
ALDOB	HIF1A		0	GErel: expression by	<-	1	GErel
ALMS1	CC2D2A		0	complex; input	-	1	PPrel
ALMS1	FGFR1OP		0	complex	-	1	PPrel
ALMS1	ODF2		0	complex	-	1	PPrel
ALMS1	RAB3IP		0	complex; input	-	1	PPrel
AMOTL1	MPDZ		0	PPrel: binding/association	-	1	PPrel
AMPH	DNAJC6		0	complex; input	-	1	PPrel
AMPH	IL7R		0	complex; input	-	1	PPrel
AMPH	LDLRAP1		0	complex; input	-	1	PPrel
AMPH	RPS27A		0	complex; input	-	1	PPrel
AMPH	UBC		0	complex; input	-	1	PPrel
ANGPT2	HIF1A		0	GErel: expression by	<-	1	GErel
ANGPT4	HIF1A		0	GErel: expression by	<-	1	GErel
ANGPTL4	GPIHBP1		0	activate	->	1	PPrel
ANGPTL4	HIF1A		0	predicted	-	0.64	predicted
ANGPTL4	LPL		0	PPrel: inhibition; activate	-	1	PPrel
ANGPTL4	RXRA		0	GErel: expression by	<-	1	GErel
ANO3	CLCA3P		0	activated by	<-	1	PPrel
ANO5	CLCA3P		0	activated by	<-	1	PPrel
APBB2	LRP3		0	complex; input	-	1	PPrel
APLN	GNAI1		0	complex; input	-	1	PPrel
APOC2	GPC1		0	complex; input	-	1	PPrel
APOC2	GPIHBP1		0	activate; catalyzed by	<->	1	PPrel
APOC2	LPL		0	PPrel: activation; activate; catalyzed by	<->	1	PPrel
APOC2	SDC3		0	complex; input	-	1	PPrel
APOC2	SDC4		0	complex; input	-	1	PPrel
ARHGEF15	LIMCH1		0	predicted	-	0.5	predicted
ARTN	GRB7		0	complex; input	-	1	PPrel
ARTN	IRS2		0	complex; input	-	1	PPrel
ASCL3	ID1		0	predicted	-	0.64	predicted
ATP6V1E2	ATP6V1G2		0	complex; predicted	-	1	PPrel
ATP6V1E2	SEH1L		0	activated by; inhibited by	-	1	PPrel
ATP6V1E2	SESN1		0	activated by	<-	1	PPrel
ATP6V1G2	SEH1L		0	activated by; inhibited by	-	1	PPrel
ATP6V1G2	SESN1		0	activated by	<-	1	PPrel
B3GAT2	DCN		0	catalyze	->	1	PPrel
B3GAT2	GPC1		0	catalyze	->	1	PPrel
B3GAT2	SDC3		0	catalyze	->	1	PPrel
B3GAT2	SDC4		0	catalyze	->	1	PPrel
B3GNT8	MUC12		0	catalyze	->	1	PPrel
B4GALT5	MUC12		0	catalyze	->	1	PPrel
B4GALT5	OGN		0	catalyze	->	1	PPrel
B4GALT5	OMD		0	catalyze	->	1	PPrel
B4GALT5	PRELP		0	catalyze	->	1	PPrel
BBS5	RAB3IP		0	complex; input	-	1	PPrel
BCAR1	BMX		0	predicted	-	0.64	predicted
BCAR1	CSF1		0	activated by	<-	1	PPrel
BCAR1	DCC		0	complex; input	-	1	PPrel
BCAR1	GNAI1		0	inhibited by	|-	1	other
BCAR1	GNAZ		0	inhibited by	|-	1	other
BCAR1	IGF1		0	activated by	<-	1	PPrel
BCAR1	ITGAE		0	PPrel: activated by	<-	1	PPrel
BCAR1	ITGB4		0	PPrel: activated by	<-	1	PPrel
BCAR1	ITGB6		0	PPrel: activated by	<-	1	PPrel
BCAR1	MAP3K1		0	PPrel: activation	->	1	PPrel
BCAR1	NTN1		0	complex; input	-	1	PPrel
BCAR1	PTK2B		0	PPrel: activated by; catalyzed by; complex; input	<-	1	PPrel
BCHE	ETV4		0	expression regulated by	<-	1	GErel
BCL2L1	MYC		0	predicted	-	0.54	predicted
BCL2L1	REL		0	expression regulated by	<-	1	GErel
BCL2L1	RELA		0	GErel: expression by; expression regulated by	<-	1	GErel
BCL2L1	RXRA		0	expression regulated by	<-	1	GErel
BCL2L1	VDAC1		0	predicted	-	0.77	predicted
BDNF	CREB1		0	GErel: expression by	<-	1	GErel
BDNF	GRIN2B		0	complex; input	-	1	PPrel
BDNF	SORCS3		0	predicted	-	0.54	predicted
BGLAP	NACA		0	GErel: expression by	<-	1	GErel
BMP6	NOG		0	PPrel: inhibited by	|-	1	PPrel
BMP6	NBL1		0	PPrel: inhibited by	|-	1	PPrel
BMP8B	NOG		0	PPrel: inhibited by	|-	1	PPrel
BMP8B	PRKAG3		0	PPrel: inhibition, indirect effect	-|	1	PPrel
BMP8B	NBL1		0	PPrel: inhibited by	|-	1	PPrel
C1R	C3		0	predicted	-	0.92	predicted
C1R	SERPING1		0	PPrel: inhibited by; complex; input	|-	1	PPrel
C3	GNAI1		0	complex; input	-	1	PPrel
C4BPB	PROS1		0	complex; input	-	1	PPrel
C7	C9		0	complex; input; reaction	-	1	ECrel
CACNA1H	GRIN2B		0	PPrel: activated, indirect effect	<-	1	PPrel
CACNA1H	GRIN2C		0	PPrel: activated, indirect effect	<-	1	PPrel
CACNA1H	RASGRF2		0	PPrel: compound	-	1	PPrel
CACNA2D1	CACNG1		0	complex; reaction	-	1	ECrel
