Gene	logFC	P.Value	nes	pval	Eigen_centrality	Eigen_directed_centrality	Eigen_reverse_centrality	Page_rank	page_rank_directed	Page_rank_reverse	TF
ABHD16A	0.0131310924369714	0.747962761144556	0	1	0	0	0	0	0	0	FALSE
ABHD16B	0.099430252100829	0.0017358371035735	0	1	0	0	0	0	0	0	FALSE
ABHD17A	-0.0167243697479034	0.748161560280375	0	1	0	0	0	0	0	0	FALSE
ABHD17B	0.0897529411764619	0.0264557986945133	0	1	0	0	0	0	0	0	FALSE
ABHD17B	0.109747058823505	0.233263879677799	0	1	0	0	0	0	0	0	FALSE
ABHD17B	0.0557739495798142	0.495716216231013	0	1	0	0	0	0	0	0	FALSE
ABHD17C	-0.159755462184883	0.324189682416482	0	1	0	0	0	0	0	0	FALSE
ABHD18	-0.0422798364705912	0.518500373205041	0	1	0	0	0	0	0	0	FALSE
ABHD18	-0.033834453781532	0.638984439560002	0	1	0	0	0	0	0	0	FALSE
ABHD18	-0.025330252100856	0.640645368436646	0	1	0	0	0	0	0	0	FALSE
ABHD2	-0.0570428497479192	0.561179036734128	0	1	0	0	0	0	0	0	FALSE
ABHD2	0.023081512605037	0.725614853181736	0	1	0	0	0	0	0	0	FALSE
ABHD2	-0.031724369747911	0.72687502288628	0	1	0	0	0	0	0	0	FALSE
ABHD2	-0.00891744537630501	0.895609770188999	0	1	0	0	0	0	0	0	FALSE
ABHD2	0.00250252100839354	0.975022335271242	0	1	0	0	0	0	0	0	FALSE
ABHD2	-0.00247275966388294	0.977283789654093	0	1	0	0	0	0	0	0	FALSE
ABHD3	0.0287682584295261	0.741730094829252	0	1	0	0	0	0	0	0	FALSE
ABHD4	-0.0715983798319417	0.0154711560468016	0	1	4.71527065500193e-17	0	0	0.000348472528750374	0.000848325763860603	0	FALSE
ABHD4	-0.128780672268928	0.0806235300507945	0	1	4.71527065500193e-17	0	0	0.000348472528750374	0.000848325763860603	0	FALSE
ABHD5	0.0562176885714187	0.29678092015299	0	1	0	0	0	0	0	0	FALSE
ABHD5	0.0360957983193231	0.489635379803834	0	1	0	0	0	0	0	0	FALSE
ABHD5	-0.0510739495798465	0.581093848765156	0	1	0	0	0	0	0	0	FALSE
ABHD5	-0.0235619066386734	0.86093777754161	0	1	0	0	0	0	0	0	FALSE
ABHD6	0.0505075630252012	0.0727768613836883	0	1	0	0	0	0	0	0	FALSE
ABHD6	0.0420453781512462	0.380938687955951	0	1	0	0	0	0	0	0	FALSE
ABHD6	0.00240649857141761	0.957658136937752	0	1	0	0	0	0	0	0	FALSE
ABHD6	0.00163025210084378	0.964927759883696	0	1	0	0	0	0	0	0	FALSE
ABHD8	0.034729411764693	0.266045414177512	0	1	0	0	0	0	0	0	FALSE
ABI1	-0.0271224252459774	0.238906869746589	0	1	0	0	0	0	0	0	FALSE
ABI1	-0.0151567146791933	0.728915258294266	0	1	0	0	0	0	0	0	FALSE
ABI1	-0.004729850181036	0.92247287014986	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.0615243473949709	0.126202325076861	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.0282180689964395	0.522886302817581	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.0200022588710347	0.706801927717094	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.03070420168069	0.767883000580879	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.00607647058824501	0.77274448939354	0	1	0	0	0	0	0	0	FALSE
ABI2	0.00791428571428199	0.926474813630899	0	1	0	0	0	0	0	0	FALSE
ABI2	-0.00404390658460407	0.914577683684606	0	1	0	0	0	0	0	0	FALSE
ABI3	0.00430588235292362	0.926878459155697	0	1	0	0	0	0	0	0	FALSE
ABI3BP	-0.0331235294117747	0.0232591534935982	0	1	0	0	0	0	0	0	FALSE
ABI3BP	0.0167638655462143	0.451794365945035	0	1	0	0	0	0	0	0	FALSE
ABI3BP	-0.00686205346334656	0.712889279225672	0	1	0	0	0	0	0	0	FALSE
ABITRAM	-0.0320882352941254	0.453177749489561	0	1	0	0	0	0	0	0	FALSE
ABL1	-0.0493631188926056	0.357537770688648	0	1	0	0	0	0	0	0	FALSE
ABL2	0.0618563025209902	0.211306339048973	0	1	0	0	0	0	0	0	FALSE
ABL2	0.0292021086751193	0.32887997878875	0	1	0	0	0	0	0	0	FALSE
ABL2	0.0370462184873759	0.388282669215391	0	1	0	0	0	0	0	0	FALSE
ABLIM1	-0.0264146300591346	0.577817114814947	0	1	0	0	0	0	0	0	FALSE
ABLIM1	-0.032013842544977	0.845111090007892	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.0543821462184804	0.0807401963423407	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.0379798118061903	0.205845318433655	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.059510084033608	0.33523334879593	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.022403361344514	0.493275062239554	0	1	0	0	0	0	0	0	FALSE
ABLIM2	0.0189765718130168	0.643829397234524	0	1	0	0	0	0	0	0	FALSE
ABLIM3	-0.0207620831709505	0.52759070460467	0	1	0	0	0	0	0	0	FALSE
ABO	0.0457305745378127	0.339193607005022	0	1	0	0	0	0	0	0	FALSE
ABO	0.0867242977310845	0.341925223894917	0	1	0	0	0	0	0	0	FALSE
ABO	0.0138901742016726	0.677510655752003	0	1	0	0	0	0	0	0	FALSE
ABR	-0.0201689883193357	0.778627821587786	0	1	0	0	0	0	0	0	FALSE
ABR	-0.0138274795175644	0.878703903975922	0	1	0	0	0	0	0	0	FALSE
ABRA	0.0218959895697237	0.240400759198483	0	1	0	0	0	0	0	0	FALSE
ABRA	-0.0213260892016125	0.399397276590832	0	1	0	0	0	0	0	0	FALSE
ABRACL	-0.0617134453781816	0.443396122325477	0	1	0	0	0	0	0	0	FALSE
ABRAXAS1	-0.0876336134453926	0.31729224624625	0	1	0	0	0	0	0	0	FALSE
ABRAXAS1	-0.0476050420168228	0.558355458272	0	1	0	0	0	0	0	0	FALSE
ABRAXAS2	-0.0252970181857854	0.599742562785764	0	1	0	0	0	0	0	0	FALSE
ABRAXAS2	-0.00486722092684033	0.914607737643686	0	1	0	0	0	0	0	0	FALSE
ABT1	0.036651260504188	0.372701376323955	0	1	0	0	0	0	0	0	FALSE
ABTB1	0.0589407071428418	0.0701673864283203	0	1	0	0	0	0	0	0	FALSE
ABTB1	-0.0195722689075719	0.524874091727685	0	1	0	0	0	0	0	0	FALSE
ABTB1	0.0167403361344425	0.55259135020183	0	1	0	0	0	0	0	0	FALSE
ABTB1	-0.00269915966387835	0.964874556844299	0	1	0	0	0	0	0	0	FALSE
ABTB1	-0.000200000000011968	0.997337001258312	0	1	0	0	0	0	0	0	FALSE
ABTB2	0.0813596638655332	0.0161640539319348	0	1	0	0	0	0	0	0	FALSE
ABTB2	0.00333278346781896	0.938901127847704	0	1	0	0	0	0	0	0	FALSE
ACAA1	0.0257372706722627	0.609992588007789	0	1	0	0	0	0	0	0	FALSE
ACAA1	0.0184367256080176	0.624960987903802	0	1	0	0	0	0	0	0	FALSE
ACAA2	0.0678409837763834	0.0216429383470443	0	1	0	0	0	0	0	0	FALSE
ACAA2	0.0174895546218252	0.654797682608605	0	1	0	0	0	0	0	0	FALSE
ACAA2	0.0194450894448401	0.782308633979915	0	1	0	0	0	0	0	0	FALSE
ACACA	0.018144535546206	0.67560073886829	0	1	0	0	0	0	0	0	FALSE
ACACA	0.0189653888798684	0.741602095138732	0	1	0	0	0	0	0	0	FALSE
ACACB	0.0526579831932592	0.0924486966449503	0	1	0	0	0	0	0	0	FALSE
ACACB	0.0669984877310794	0.134831392974632	0	1	0	0	0	0	0	0	FALSE
ACACB	0.0756553220167895	0.162709686740178	0	1	0	0	0	0	0	0	FALSE
ACACB	0.0216709698590893	0.504272664523195	0	1	0	0	0	0	0	0	FALSE
ACACB	-0.0123472115049754	0.652920451818164	0	1	0	0	0	0	0	0	FALSE
ACACB	-0.00187071857143639	0.920041254635824	0	1	0	0	0	0	0	0	FALSE
ACAD10	-0.0306243697479118	0.351222162551744	0	1	0	0	0	0	0	0	FALSE
ACAD10	0.027474789915968	0.363872904871262	0	1	0	0	0	0	0	0	FALSE
ACAD10	0.0154999999999932	0.60748186017565	0	1	0	0	0	0	0	0	FALSE
ACAD10	0.00647563025210296	0.82681313540909	0	1	0	0	0	0	0	0	FALSE
ACAD8	-0.0182899159664043	0.774741346416505	0	1	0	0	0	0	0	0	FALSE
ACAD9	-0.037694117647078	0.379536933031557	0	1	0	0	0	0	0	0	FALSE
ACADL	-0.0132379002793259	0.45141400908803	0	1	0	0	0	0	0	0	FALSE
ACADL	0.0115700344372112	0.54600973010208	0	1	0	0	0	0	0	0	FALSE
ACADM	-0.0419187934370928	0.599739177019865	0	1	0	0	0	0	0	0	FALSE
ACADS	-0.0208431367497166	0.476911111529265	0	1	0	0	0	0	0	0	FALSE
ACADSB	-0.0432932773109407	0.580457173240937	0	1	0	0	0	0	0	0	FALSE
ACADSB	-0.0214405663754764	0.622022118682609	0	1	0	0	0	0	0	0	FALSE
ACADVL	0.0544863974015168	0.301161350978766	0	1	0	0	0	0	0	0	FALSE
ACAN	-0.076587670062497	0.0263023992687022	0	1	0	0	0	0	0	0	FALSE
ACAN	0.041913608587981	0.130557284707376	0	1	0	0	0	0	0	0	FALSE
ACAN	0.0294954808430932	0.144058569620174	0	1	0	0	0	0	0	0	FALSE
ACAN	0.0208732519327697	0.438893398635567	0	1	0	0	0	0	0	0	FALSE
ACAP1	0.0804713704201596	0.19211339672659	0	1	0	0	0	0	0	0	FALSE
ACAP1	-0.0266368062773008	0.602139936535855	0	1	0	0	0	0	0	0	FALSE
ACAP1	-0.0131522356798133	0.851066321985096	0	1	0	0	0	0	0	0	FALSE
ACAP2	-0.0628503569305616	0.212487484626129	0	1	0	0	0	0	0	0	FALSE
ACAP2	-0.0663137868273047	0.291568098057155	0	1	0	0	0	0	0	0	FALSE
ACAP2	-0.0407321830140202	0.539701553391621	0	1	0	0	0	0	0	0	FALSE
ACAP3	-0.0372672268907657	0.504756021380677	0	1	0	0	0	0	0	0	FALSE
ACAP3	0.00651680672267396	0.861411311969514	0	1	0	0	0	0	0	0	FALSE
ACAT1	-0.0325605561862963	0.209820951225026	0	1	0	0	0	0	0	0	FALSE
ACAT1	-0.123909471040401	0.240070188690629	0	1	0	0	0	0	0	0	FALSE
ACAT1	-0.0113056429350076	0.437615428115112	0	1	0	0	0	0	0	0	FALSE
ACAT2	0.0225711235318862	0.633340625329836	0	1	0	0	0	0	0	0	FALSE
ACBD3	0.0199711563386007	0.705430570314146	0	1	0	0	0	0	0	0	FALSE
ACBD3	-0.00059953128368484	0.991569378247744	0	1	0	0	0	0	0	0	FALSE
ACBD4	0.0100529411764576	0.732698210832185	0	1	0	0	0	0	0	0	FALSE
ACBD5	-0.0923134453781636	0.14453916563174	0	1	0	0	0	0	0	0	FALSE
ACBD5	-0.0259250108657616	0.426362641962451	0	1	0	0	0	0	0	0	FALSE
ACBD6	-0.0128756302521182	0.784476339964248	0	1	0	0	0	0	0	0	FALSE
ACCS	0.0305689075630102	0.717851073720598	0	1	0	0	0	0	0	0	FALSE
ACD	0.0676729825117413	0.145898596067751	0	1	0	0	0	0	0	0	FALSE
ACE	0.0208521008403295	0.563902739543924	0	1	0	0	0	0	0	0	FALSE
ACE	-0.00178161253627174	0.95110711386403	0	1	0	0	0	0	0	0	FALSE
ACE2	-0.0477781512605171	0.092593635333432	0	1	0	0	0	0	0	0	FALSE
ACE2	0.0460033613445248	0.374110417051433	0	1	0	0	0	0	0	0	FALSE
ACER1	0.043561830849022	0.134969493506246	0	1	0	0	0	0	0	0	FALSE
ACER3	-0.0877159663865648	0.0212444292641927	0	1	0	0	0	0	0	0	FALSE
ACER3	-0.0377478991596707	0.195934803300581	0	1	0	0	0	0	0	0	FALSE
ACER3	-0.0701621848739613	0.385974525512779	0	1	0	0	0	0	0	0	FALSE
ACER3	-0.0612882352941257	0.494259177437359	0	1	0	0	0	0	0	0	FALSE
ACER3	-0.0563487394958102	0.523705712267217	0	1	0	0	0	0	0	0	FALSE
ACER3	0.0267436974789854	0.713893423306429	0	1	0	0	0	0	0	0	FALSE
ACHE	0.0383930441116229	0.213850594370779	0	1	0	0	0	0	0	0	FALSE
ACHE	0.0389551817801879	0.343806144740555	0	1	0	0	0	0	0	0	FALSE
ACHE	0.0320033742967611	0.441436936614918	0	1	0	0	0	0	0	0	FALSE
