Gene	logFC	P.Value	nes	pval	Eigen_centrality	Eigen_directed_centrality	Eigen_reverse_centrality	Page_rank	page_rank_directed	Page_rank_reverse	TF
A1BG	0.0341647058823504	0.159765350872903	0	1	0	0	0	0	0	0	FALSE
A1BG-AS1	0.0616302521008194	0.207096581606031	0	1	0	0	0	0	0	0	FALSE
A1CF	0.0194249659663761	0.299089683409604	0	1	0	0	0	0	0	0	FALSE
A1CF	-0.00670252100841129	0.863243324281861	0	1	0	0	0	0	0	0	FALSE
A2M	-0.00340201839948673	0.883087934085917	0	1	0	0	0	0	0	0	FALSE
A2M	0.00599072756301666	0.892674497490814	0	1	0	0	0	0	0	0	FALSE
A2M-AS1	0.0195312663876441	0.847588608533674	0	1	0	0	0	0	0	0	FALSE
A2ML1	-0.0586867632225188	0.0591585770452268	0	1	0	0	0	0	0	0	FALSE
A2ML1	0.0334851320556169	0.0941873079157114	0	1	0	0	0	0	0	0	FALSE
A2MP1	-0.0423554621848883	0.111733803734611	0	1	0	0	0	0	0	0	FALSE
A4GALT	0.0601823529411689	0.111613172587352	0	1	0	0	0	0	0	0	FALSE
A4GNT	-0.0148495798319388	0.553662213649958	0	1	0	0	0	0	0	0	FALSE
AA06	0.00270829294116659	0.925550835717942	0	1	0	0	0	0	0	0	FALSE
AAAS	-0.0130344537815184	0.55285481738203	0	1	0	0	0	0	0	0	FALSE
AACS	-0.0143352941176547	0.846706486007729	0	1	0	0	0	0	0	0	FALSE
AACSP1	0.0371895277571204	0.237235924314103	0	1	0	0	0	0	0	0	FALSE
AADAC	0.00432923033593902	0.852984596972156	0	1	0	0	0	0	0	0	FALSE
AADACL2	0.00758887487394677	0.605195266705021	0	1	0	0	0	0	0	0	FALSE
AADACP1	0.00662417691309702	0.8260759748637	0	1	0	0	0	0	0	0	FALSE
AADAT	-0.0364949579832068	0.516906141069821	0	1	0	0	0	0	0	0	FALSE
AAGAB	0.0832194087032381	0.130440749430259	0	1	0	0	0	0	0	0	FALSE
AAGAB	0.0325884821486095	0.296779702798822	0	1	0	0	0	0	0	0	FALSE
AAGAB	-0.00468425949581341	0.921351120373895	0	1	0	0	0	0	0	0	FALSE
AAK1	-0.0508005102521123	0.125490857084068	0	1	0	0	0	0	0	0	FALSE
AAK1	0.0335404905953922	0.341914023089709	0	1	0	0	0	0	0	0	FALSE
AAK1	0.0159582611662294	0.606342425610311	0	1	0	0	0	0	0	0	FALSE
AAK1	0.0345260504201441	0.616269665369552	0	1	0	0	0	0	0	0	FALSE
AAK1	-0.0100384942016856	0.65395615163082	0	1	0	0	0	0	0	0	FALSE
AAK1	-0.00298655462185682	0.897052329076115	0	1	0	0	0	0	0	0	FALSE
AAK1	-0.00804168830130791	0.924738360845951	0	1	0	0	0	0	0	0	FALSE
AAMDC	0.072805882352931	0.0137051606408148	0	1	0	0	0	0	0	0	FALSE
AAMDC	0.0806126050420009	0.0621008360194458	0	1	0	0	0	0	0	0	FALSE
AAMDC	0.0112714285714182	0.441424718677212	0	1	0	0	0	0	0	0	FALSE
AAMP	-0.00436036762064873	0.879698063782094	0	1	0	0	0	0	0	0	FALSE
AANAT	0.045943786177709	0.0669863976349066	0	1	0	0	0	0	0	0	FALSE
AAR2	-0.00479075630252446	0.879378618461786	0	1	0	0	0	0	0	0	FALSE
AARS1	0.0290730605669793	0.559573465436631	0	1	0	0	0	0	0	0	FALSE
AARS2	0.0809630252100657	0.0165036365855381	0	1	0	0	0	0	0	0	FALSE
AARS2	0.04911932773107	0.240439224496388	0	1	0	0	0	0	0	0	FALSE
AASDH	-0.102184873949577	0.110938993508426	0	1	0	0	0	0	0	0	FALSE
AASDH	-0.0176016806722643	0.744178827247702	0	1	0	0	0	0	0	0	FALSE
AASDHPPT	-0.058623529411773	0.0102414549745618	0	1	0	0	0	0	0	0	FALSE
AASDHPPT	-0.064163922136423	0.301282669067133	0	1	0	0	0	0	0	0	FALSE
AASDHPPT	-0.0560396779766013	0.499402015685362	0	1	0	0	0	0	0	0	FALSE
AASS	0.0862318813445384	0.0136956728268483	0	1	0	0	0	0	0	0	FALSE
AASS	0.069436758341344	0.129330154118784	0	1	0	0	0	0	0	0	FALSE
AATBC	-0.171179606502094	0.260786707019136	0	1	0	0	0	0	0	0	FALSE
AATF	0.00535038365228147	0.882674221346945	0	1	0	0	0	0	0	0	FALSE
AATK	0.0554836745024829	0.125229601472925	0	1	0	0	0	0	0	0	FALSE
ABAT	0.0334527275964449	0.295916246774121	0	1	0	0	0	0	0	0	FALSE
ABAT	-0.0154770479756365	0.876396901987476	0	1	0	0	0	0	0	0	FALSE
ABAT	0.00154003935458036	0.980902764858707	0	1	0	0	0	0	0	0	FALSE
ABCA1	0.0661184690815713	0.239458039129336	0	1	0	0	0	0	0	0	FALSE
ABCA1	-0.0507188199345263	0.642422774390735	0	1	0	0	0	0	0	0	FALSE
ABCA1	-0.0508232952560723	0.696555363146222	0	1	0	0	0	0	0	0	FALSE
ABCA1	-0.0023889815966589	0.964162484623081	0	1	0	0	0	0	0	0	FALSE
ABCA11P	-0.0205764705882485	0.577646263265388	0	1	0	0	0	0	0	0	FALSE
ABCA12	0.0484754073109208	0.0734942592350564	0	1	0	0	0	0	0	0	FALSE
ABCA13	0.0822789413684442	0.311082860135012	0	1	0	0	0	0	0	0	FALSE
ABCA13	0.0276878294435834	0.650691299524099	0	1	0	0	0	0	0	0	FALSE
ABCA13	-0.000461462577115768	0.982807373137726	0	1	0	0	0	0	0	0	FALSE
ABCA17P	0.0251798319327685	0.352792607151974	0	1	0	0	0	0	0	0	FALSE
ABCA2	0.0689413033215889	0.0521475023581962	0	1	0	0	0	0	0	0	FALSE
ABCA2	0.0666927804148791	0.486995859746574	0	1	0	0	0	0	0	0	FALSE
ABCA2	0.0239758924100233	0.702123360394303	0	1	0	0	0	0	0	0	FALSE
ABCA3	0.0674361823532728	0.19982527515928	0	1	0	0	0	0	0	0	FALSE
ABCA4	0.0339051632381171	0.435040891829642	0	1	0	0	0	0	0	0	FALSE
ABCA4	0.0018056917260898	0.949390123777436	0	1	0	0	0	0	0	0	FALSE
ABCA5	0.108445053792965	0.179726439142421	0	1	0	0	0	0	0	0	FALSE
ABCA5	0.0124302567226806	0.815561952382205	0	1	0	0	0	0	0	0	FALSE
ABCA6	-0.0154074477311035	0.781631841911773	0	1	0	0	0	0	0	0	FALSE
ABCA7	0.0380974789915864	0.551358219641342	0	1	0	0	0	0	0	0	FALSE
ABCA8	0.0256865228245715	0.378960036376155	0	1	0	0	0	0	0	0	FALSE
ABCA8	-0.0310822516774367	0.470061578115508	0	1	0	0	0	0	0	0	FALSE
ABCA8	-0.0109069615368007	0.560076531868127	0	1	0	0	0	0	0	0	FALSE
ABCA9	0.0296607922688992	0.414849520941272	0	1	0	0	0	0	0	0	FALSE
ABCA9	-0.00577142857143009	0.800506050513375	0	1	0	0	0	0	0	0	FALSE
ABCA9	0.00322949983191823	0.940057520936968	0	1	0	0	0	0	0	0	FALSE
ABCB1	-0.0168960967352554	0.896227998453212	0	1	0	0	0	0	0	0	FALSE
ABCB1	0.0106917803361268	0.888308041296786	0	1	0	0	0	0	0	0	FALSE
ABCB10	-0.0892285714285954	0.393324981636152	0	1	0	0	0	0	0	0	FALSE
ABCB11	0.0166740294829104	0.46317967431142	0	1	0	0	0	0	0	0	FALSE
ABCB11	-0.0037184824776606	0.81030997875396	0	1	0	0	0	0	0	0	FALSE
ABCB4	-0.0255293869031945	0.385766155692808	0	1	0	0	0	0	0	0	FALSE
ABCB4	0.0140267340370919	0.530706806025778	0	1	0	0	0	0	0	0	FALSE
ABCB5	0.0159650642016773	0.213029291539319	0	1	0	0	0	0	0	0	FALSE
ABCB5	-0.0183715383458374	0.304968929729236	0	1	0	0	0	0	0	0	FALSE
ABCB5	-0.0228773787942069	0.346687887201562	0	1	0	0	0	0	0	0	FALSE
ABCB5	0.00617904974789685	0.733364990514165	0	1	0	0	0	0	0	0	FALSE
ABCB6	0.116754194447251	0.0670288417828671	0	1	0	0	0	0	0	0	FALSE
ABCB6	0.0216197035676426	0.73311052113008	0	1	0	0	0	0	0	0	FALSE
ABCB7	0.0455685752655626	0.342140081261795	0	1	0	0	0	0	0	0	FALSE
ABCB8	0.0286966386554495	0.271521444106498	0	1	0	0	0	0	0	0	FALSE
ABCB8	0.00839477274982148	0.814834977690515	0	1	0	0	0	0	0	0	FALSE
ABCB9	0.0421615642856947	0.201223540658525	0	1	0	0	0	0	0	0	FALSE
ABCB9	-0.0132538982930104	0.727773490413239	0	1	0	0	0	0	0	0	FALSE
ABCB9	-0.00437645310873069	0.902380352968781	0	1	0	0	0	0	0	0	FALSE
ABCC1	0.131421161579688	0.178377558538957	0	1	0	0	0	0	0	0	FALSE
ABCC1	0.112643505357431	0.29376188740738	0	1	0	0	0	0	0	0	FALSE
ABCC10	0.0248478724369594	0.507232694029738	0	1	0	0	0	0	0	0	FALSE
ABCC10	0.00229483068387104	0.976849989981478	0	1	0	0	0	0	0	0	FALSE
ABCC11	-0.0537803865298816	0.150564779932305	0	1	0	0	0	0	0	0	FALSE
ABCC11	0.0256731092436846	0.221637989576701	0	1	0	0	0	0	0	0	FALSE
ABCC12	-0.0264788941920751	0.222022210495659	0	1	0	0	0	0	0	0	FALSE
ABCC12	0.0286788783122489	0.231361763382941	0	1	0	0	0	0	0	0	FALSE
ABCC13	0.0272200961346289	0.467423339288697	0	1	0	0	0	0	0	0	FALSE
ABCC13	0.0327386554621771	0.722755896951752	0	1	0	0	0	0	0	0	FALSE
ABCC13	0.0193941269619184	0.795947480938213	0	1	0	0	0	0	0	0	FALSE
ABCC13	0.00169105330100106	0.959348013502138	0	1	0	0	0	0	0	0	FALSE
ABCC2	0.0027940014563308	0.92163819556122	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.0339462299999873	0.277037908394248	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.0155153509092747	0.67890341855452	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.0123645928571277	0.685165735528034	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.00585630252099278	0.852320866371441	0	1	0	0	0	0	0	0	FALSE
ABCC3	0.00486994842124133	0.918027135868946	0	1	0	0	0	0	0	0	FALSE
ABCC4	-0.0716558752561962	0.544584118965156	0	1	0	0	0	0	0	0	FALSE
ABCC4	0.0562723312499305	0.624308274588731	0	1	0	0	0	0	0	0	FALSE
ABCC4	-0.0368625994903571	0.682946621577384	0	1	0	0	0	0	0	0	FALSE
ABCC4	-0.00146533521009928	0.965515846597194	0	1	0	0	0	0	0	0	FALSE
ABCC5	0.0791319327730982	0.343890640762508	0	1	0	0	0	0	0	0	FALSE
ABCC5	0.0465392620047727	0.353518053283717	0	1	0	0	0	0	0	0	FALSE
ABCC5	-0.00577438027758248	0.795900554864785	0	1	0	0	0	0	0	0	FALSE
ABCC6	0.0481157223103468	0.0603235367418247	0	1	0	0	0	0	0	0	FALSE
ABCC6	0.00326758042015651	0.948551418379513	0	1	0	0	0	0	0	0	FALSE
ABCC6P1	-0.0125571428571467	0.502918919151722	0	1	0	0	0	0	0	0	FALSE
ABCC8	0.13844771122966	0.0352270656440664	0	1	4.71527065500193e-17	0	0	0.000348472528750374	0.000848325763860603	0	FALSE
ABCC8	0.00429592504189635	0.890790273014789	0	1	4.71527065500193e-17	0	0	0.000348472528750374	0.000848325763860603	0	FALSE
ABCC9	-0.0553960419555954	0.10973956516227	0	1	0	0	0	0	0	0	FALSE
ABCC9	-0.036477332090838	0.161695573670722	0	1	0	0	0	0	0	0	FALSE
ABCC9	0.0236358846880558	0.627073721171146	0	1	0	0	0	0	0	0	FALSE
ABCC9	-0.00742016806723989	0.673461207028751	0	1	0	0	0	0	0	0	FALSE
ABCC9	0.00702300366639275	0.76085272716749	0	1	0	0	0	0	0	0	FALSE
ABCD1	-0.128819479552252	0.018622833337733	0	1	4.6845002093956e-17	0	5.75936800479288e-18	0.0023231501916591	0.000848325763860603	0.00214600216754562	FALSE
ABCD2	-0.0459832709896908	0.0558936217822601	0	1	0	0	0	0	0	0	FALSE
ABCD3	-0.141901051923508	0.140609327885602	0	1	0	0	0	0	0	0	FALSE
ABCD3	-0.0438415473806382	0.600802720560031	0	1	0	0	0	0	0	0	FALSE
ABCD4	0.0313704669904045	0.471818653545084	0	1	0	0	0	0	0	0	FALSE
ABCD4	0.000473159631724229	0.984491145872727	0	1	0	0	0	0	0	0	FALSE
ABCE1	-0.0382740195906557	0.611252920736128	0	1	0	0	0	0	0	0	FALSE
ABCE1	0.00131366350323425	0.9866111202513	0	1	0	0	0	0	0	0	FALSE
ABCF1	0.0327480709823647	0.323685298600803	0	1	0	0	0	0	0	0	FALSE
ABCF2	0.0135072964576501	0.787639180118952	0	1	0	0	0	0	0	0	FALSE
ABCF2	0.013561542100831	0.608133947606071	0	1	0	0	0	0	0	0	FALSE
ABCF2	-0.00787912979130212	0.903177039181721	0	1	0	0	0	0	0	0	FALSE
ABCF2	0.00382995524167029	0.909200756689819	0	1	0	0	0	0	0	0	FALSE
ABCF2	-0.00320640376827797	0.9364464589187	0	1	0	0	0	0	0	0	FALSE
ABCF3	0.00132328092990797	0.95968157110145	0	1	0	0	0	0	0	0	FALSE
ABCG1	-0.0590453781512768	0.347687847275432	0	1	0	0	0	0	0	0	FALSE
ABCG1	-0.138982606195389	0.351467872991998	0	1	0	0	0	0	0	0	FALSE
ABCG1	-0.0501539668993631	0.390426855887611	0	1	0	0	0	0	0	0	FALSE
ABCG1	-0.0499319327731191	0.467761520748487	0	1	0	0	0	0	0	0	FALSE
ABCG2	0.0116713696653639	0.906548030356841	0	1	0	0	0	0	0	0	FALSE
ABCG4	0.00601858169739522	0.775968187285057	0	1	0	0	0	0	0	0	FALSE
ABCG5	0.00311932773108303	0.908578963241697	0	1	0	0	0	0	0	0	FALSE
ABCG8	-0.00489831932773832	0.848610896814955	0	1	0	0	0	0	0	0	FALSE
ABHD1	-0.0601063492442089	0.0844832780838953	0	1	0	0	0	0	0	0	FALSE
ABHD1	-0.00410672268908119	0.904797305077018	0	1	0	0	0	0	0	0	FALSE
ABHD10	0.010479831932761	0.877932910461904	0	1	0	0	0	0	0	0	FALSE
ABHD10	-0.00539159663866684	0.951694709946086	0	1	0	0	0	0	0	0	FALSE
ABHD11	0.0371108218805629	0.295662440095612	0	1	0	0	0	0	0	0	FALSE
ABHD11	-0.0348228245490976	0.321991287680736	0	1	0	0	0	0	0	0	FALSE
ABHD11	-0.027728571428586	0.442020514812914	0	1	0	0	0	0	0	0	FALSE
ABHD12	-0.120893277310939	0.0513517272073639	0	1	0	0	0	0	0	0	FALSE
ABHD12	0.0607974789915859	0.123188041390779	0	1	0	0	0	0	0	0	FALSE
ABHD12	-0.0104100840336319	0.776206559599685	0	1	0	0	0	0	0	0	FALSE
ABHD13	0.0144554621848645	0.830519369725211	0	1	0	0	0	0	0	0	FALSE
ABHD13	-0.00765546218488566	0.926794556671874	0	1	0	0	0	0	0	0	FALSE
ABHD14B	-0.0457529411764934	0.449411753912708	0	1	0	0	0	0	0	0	FALSE
ABHD15	-0.0619310924369856	0.422775876898984	0	1	0	0	0	0	0	0	FALSE
ABHD16A	0.0416310924369663	0.396569853759	0	1	0	0	0	0	0	0	FALSE
