"TF","size","nes","pval","pval.fdr"
"MYC",381,-2.5823780969459,0.00981220200398447,0.555743792431265
"FLI1",13,2.38625962076403,0.0170207304487313,0.555743792431265
"SMAD4",27,2.30335747723369,0.0212587381811983,0.555743792431265
"MYB",25,2.29358104589503,0.0218145751520235,0.555743792431265
"GATA1",15,-2.26441722101905,0.0235484657809858,0.555743792431265
"RUNX3",12,-2.14017153253576,0.0323409068680183,0.636037835071027
"REST",12,2.05469613931834,0.0399083630819526,0.672740977667201
"FOSL2",10,1.87480634060334,0.060819370585338,0.76904743513146
"REL",20,-1.81756152736598,0.0691311763430544,0.76904743513146
"FOSL1",11,1.80539719509418,0.0710125497782892,0.76904743513146
"JUN",119,1.75794614776067,0.0787566727262536,0.76904743513146
"FOXO3",38,-1.74808858134787,0.0804486899228253,0.76904743513146
"FOXA1",30,1.69508135668426,0.0900599883666482,0.76904743513146
"ETV4",15,1.68887745771128,0.0912429160325461,0.76904743513146
"ZEB1",15,1.55190008542616,0.120686132483411,0.87735440951716
"TFDP1",12,1.5378051615715,0.124096261185028,0.87735440951716
"STAT4",10,-1.52845939935961,0.126398516625354,0.87735440951716
"MITF",34,-1.48666757937703,0.137102629465637,0.89657159815101
"SOX10",16,1.45973389196259,0.144363223431095,0.89657159815101
"NR3C1",10,1.40761886410069,0.159243958532618,0.903746215353389
"IRF1",32,1.39963051916007,0.161623989945778,0.903746215353389
"NFATC2",10,1.37705560454853,0.168495057099784,0.903746215353389
"STAT3",74,1.29833664222144,0.194171680289889,0.97672672276366
"NR5A1",15,1.24055105909407,0.214771641040004,0.97672672276366
"EPAS1",12,-1.22009791641774,0.222427758338614,0.97672672276366
"SMAD3",33,1.20184283282691,0.229424426746186,0.97672672276366
"TFAP2C",15,-1.14169342740519,0.253581473777921,0.97672672276366
"POU2F1",33,1.13883099204244,0.254773652610002,0.97672672276366
"RFX5",14,-1.13509570127342,0.256335222503222,0.97672672276366
"TAL1",18,-1.1267562743604,0.25984554235569,0.97672672276366
"E2F2",14,1.11102087311894,0.266559364823235,0.97672672276366
"RXRA",12,-1.1083942864259,0.267691571370643,0.97672672276366
"NFIC",28,1.0751145704924,0.282323436840237,0.97672672276366
"HNF4A",82,1.06418082739541,0.287246790664255,0.97672672276366
"NFE2L2",11,1.03564808642654,0.300366349633461,0.97672672276366
"FOXO4",14,-1.03076701816201,0.302650088363604,0.97672672276366
"ATF6",10,-0.974397381805842,0.329859268967589,0.97672672276366
"E2F1",313,0.970636981388886,0.331729083465124,0.97672672276366
"RFXANK",12,-0.965541533441907,0.334273643487918,0.97672672276366
"PPARA",31,-0.925093389848104,0.35491733115412,0.97672672276366
"FOXL2",23,-0.910182866429956,0.362726078426084,0.97672672276366
"CEBPB",42,0.900622635241677,0.367788995428879,0.97672672276366
"WT1",31,0.881021568493856,0.378306146128998,0.97672672276366
"ESR1",155,-0.879421151920912,0.379172967595224,0.97672672276366
"GATA2",39,-0.876721701841422,0.380637816265623,0.97672672276366
"NFKB1",163,-0.861514179218016,0.38895491519428,0.97672672276366
"CEBPD",14,0.86136831701297,0.389035220083831,0.97672672276366
"ATF2",24,-0.836283196433734,0.402995604041894,0.978663104132153
"TFAP2A",62,-0.817292504354872,0.413761289314082,0.978663104132153
"TCF7L2",19,-0.798208170047389,0.424749697048455,0.978663104132153
"STAT5B",16,-0.786263659790344,0.431713037725006,0.978663104132153
"ETS2",30,-0.782430590425721,0.433961561921588,0.978663104132153
"TP53",241,-0.748570326469086,0.454116222693148,0.978663104132153
"FOXA2",11,-0.743895568310504,0.456939656676132,0.978663104132153
"PAX8",11,0.737396465934592,0.46088128399392,0.978663104132153
"SREBF2",16,0.73029834760397,0.46520783805121,0.978663104132153
"LEF1",22,-0.718021481248342,0.472744041826548,0.978663104132153
"E2F3",13,0.698910655464028,0.484607867989753,0.985926352117084
"STAT2",38,0.671011427533478,0.502213249678122,0.988966926211641
"TWIST1",15,-0.646677153823783,0.517840912189892,0.988966926211641
"YY1",66,0.607077450925211,0.543799513837625,0.988966926211641
"BACH1",24,0.60539362940899,0.544917482930981,0.988966926211641
"PPARG",40,-0.602233750132577,0.54701855289201,0.988966926211641
"HSF1",12,-0.569210431582911,0.569213342256703,0.988966926211641
"RELB",13,0.564747737756443,0.572245359102401,0.988966926211641
"RFXAP",12,-0.56384211895999,0.572861584439741,0.988966926211641
"ELK1",30,-0.548960339558616,0.583032667683643,0.988966926211641
"FOS",87,-0.523645799101431,0.600524920511504,0.988966926211641
"CDX2",17,0.490013845350217,0.624124101555654,0.988966926211641
"FOXP1",161,-0.465188891358121,0.641796193158952,0.988966926211641
"SPI1",102,-0.456718834225807,0.647873151605753,0.988966926211641
"MYCN",13,0.454123330850953,0.649740061722444,0.988966926211641
"FOXM1",33,0.450056274187875,0.652669864365588,0.988966926211641
"ATF4",15,-0.441373776210661,0.658942423715361,0.988966926211641
"ESR2",16,-0.437038840795402,0.662083180032901,0.988966926211641
"EGR1",124,0.435504698241491,0.663196129498714,0.988966926211641
"USF1",59,-0.43443947813749,0.663969335089085,0.988966926211641
"SOX9",13,-0.429264177001086,0.667730983494683,0.988966926211641
"USF2",38,-0.40420633579615,0.686060995054916,0.988966926211641
"SREBF1",23,-0.393869652928261,0.693677276533229,0.988966926211641
"HIF1A",146,0.388460095759451,0.697675578930967,0.988966926211641
"STAT6",10,0.369112083526362,0.712044182578533,0.988966926211641
"TCF3",14,-0.347654026117161,0.728100027147615,0.988966926211641
"SP1",319,0.34602608677629,0.729323109932976,0.988966926211641
"STAT5A",21,0.344094291099361,0.730775376108816,0.988966926211641
"STAT1",281,-0.336492839150457,0.736499250620623,0.988966926211641
"SRF",10,0.328533299642955,0.742508470739229,0.988966926211641
"GLI2",16,0.327600776531008,0.743213534726248,0.988966926211641
"PAX6",13,0.299132729100566,0.76483877471337,0.988966926211641
"ZNF263",301,-0.297837767298471,0.765826987790156,0.988966926211641
"GATA3",70,-0.29727088067914,0.766259711164326,0.988966926211641
"ARNTL",10,0.270324003717562,0.786911000246372,0.988966926211641
"RELA",143,0.269924763847933,0.787218135268722,0.988966926211641
"FOXO1",43,-0.246007068947854,0.805676760407258,0.988966926211641
"IRF9",12,-0.245867692612068,0.805784653815091,0.988966926211641
"PRDM14",183,0.200744994020353,0.840897975643097,0.988966926211641
"NFYA",10,-0.19548796598616,0.845010957696163,0.988966926211641
"SP3",77,-0.189221916741021,0.849918890873874,0.988966926211641
"E2F4",225,-0.176016015343327,0.860281360456286,0.988966926211641
"ETS1",143,0.172414448444426,0.86311171405457,0.988966926211641
"KLF4",12,0.162429726223453,0.870967463514899,0.988966926211641
"VDR",24,0.142256709314398,0.886877239650408,0.988966926211641
"CTCF",109,0.118720825754241,0.905496536670894,0.988966926211641
"NFKB2",18,0.116823019278528,0.907000301905413,0.988966926211641
"PGR",11,-0.11307199954683,0.909973473724027,0.988966926211641
"ATF1",20,-0.108331401547475,0.913732814352078,0.988966926211641
"JUND",19,0.0995630360755092,0.920691240900288,0.988966926211641
"CREB1",74,-0.0910499041862984,0.927452937892507,0.988966926211641
"ERG",12,-0.0744195046594463,0.940676589361849,0.988966926211641
"NR2F2",18,0.0678204045940981,0.945928600641141,0.988966926211641
"SOX2",253,-0.0588511976868092,0.9530706292368,0.988966926211641
"RUNX1",21,-0.0577618042926908,0.95393836311455,0.988966926211641
"RARA",37,0.0531867444954776,0.957583117026885,0.988966926211641
"ZBTB33",12,-0.0369810383640298,0.97050012459125,0.988966926211641
"HNF1A",25,-0.0362202214184363,0.971106762207277,0.988966926211641
"CEBPA",143,-0.0301137060664866,0.975976369828477,0.988966926211641
"TP63",18,-0.0189023484569646,0.984919006078734,0.988966926211641
"AR",131,-0.0138283480612061,0.988966926211641,0.988966926211641
