"name","NR_R_adj.P.Val","NR_R_AveExpr","NR_R_B","NR_R_logFC","NR_R_nes","NR_R_P.Value","NR_R_pval","NR_R_pval.fdr","NR_R_size","NR_R_t","PR","PRWP","R_REL_adj.P.Val","R_REL_AveExpr","R_REL_B","R_REL_logFC","R_REL_P.Value","R_REL_t","REL_R_nes","REL_R_pval","REL_R_pval.fdr","REL_R_size","selected","shared name"
"MYC","0.83324554240018","-0.578580616392157","-3.4537992579689","-3.2652887242236","-0.95113008019915","0.0290227525784117","0.341538346641906","0.95305676175144","381","-2.25069619736724","1.0","0.0","0.99512996256347","-0.578580616392157","-3.81028003130975","3.42972830217143","0.0424316549006682","2.08364013186957","-2.5823780969459","0.00981220200398447","0.555743792431265","381","false","MYC"
"RXRA","0.991631499533091","1.1699330445098","-5.3857354026377","0.0373444483850931","-1.93821061388519","0.93236179309649","0.0525975323553452","0.95305676175144","12","0.0853201479806604",,"0.0","0.99512996256347","1.1699330445098","-5.01309731952908","-0.152813331428572","0.760462664074392","-0.306579588857355","-1.1083942864259","0.267691571370643","0.97672672276366","12","false","RXRA"
"SUMO1","0.975834104718457","-6.49223829411765","-5.37023205701588","-0.14338278881988",,"0.832013801250039",,,,"-0.213277610426893","1.0",,"0.99512996256347","-6.49223829411765","-4.0499186622861","-1.56450242857142","0.0690848408302457","-1.85868353634409",,,,,"false","SUMO1"
"PLTP","0.980635197983362","4.75514656862745","-5.37739907040569","0.0837008509316775",,"0.868233969267189",,,,"0.166792590409588",,,"0.99512996256347","4.75514656862745","-4.10775378858161","-1.02147648571429","0.0778498859670642","-1.80106193456652",,,,,"false","PLTP"
"SLC10A2","0.945241499105275","1.50635763921569","-4.52068180678634","0.506015485714287",,"0.144863259829056",,,,"1.48205029861976",,,"0.99512996256347","1.50635763921569","-3.42200982991084","-0.933830585714286","0.0195879172069027","-2.41343282839002",,,,,"false","SLC10A2"
"PRM1","0.945241499105275","-7.32548521568627","-5.1426635000126","0.295165565217388",,"0.438411750806494",,,,"0.781388164441998","1.0",,"0.99512996256347","-7.32548521568627","-4.09459915531408","-0.789820299999995","0.075757675977851","-1.81429948220757",,,,,"false","PRM1"
"HOXB9","0.945241499105275","-5.51214446862745","-4.73407801423972","1.6426420726708",,"0.205745466001335",,,,"1.282734217291","1.0",,"0.99512996256347","-5.51214446862745","-3.56648858374674","-3.36707508571428","0.0260701813131833","-2.29476651202821",,,,,"false","HOXB9"
"MAGEA2","0.945241499105275","-6.93928296078431","-5.2677177224549","0.456521086956518",,"0.587007878418889",,,,"0.546861059815858","1.0",,"0.99512996256347","-6.93928296078431","-3.45967965763304","-2.38833409999999","0.0211003815390808","-2.38289614719288",,,,,"false","MAGEA2"
"GPS2","0.458704896014952","-1.66284559803922","-1.19917399653285","1.37562427701863",,"0.00122061102140353",,,,"3.4379825805288","0.0","0.0","0.982392679760855","-1.66284559803922","-3.04853329054077","-1.23760653571428","0.00941058195234775","-2.70329854798682",,,,,"false","GPS2"
"SRC","0.957204995464957","-3.32946105882353","-5.34039355845249","0.316674299378882",,"0.731491190026908",,,,"0.345147982087419","1.0",,"0.99512996256347","-3.32946105882353","-4.21398940335335","-1.75325510285714","0.097183403960356","-1.6910353295366",,,,,"false","SRC"
