"Promoter","Enhancer","Gene","Methylation_score"
0,0,"C12orf48",0
0.666666666666667,0.005,"GPA33",0.671666666666667
0,0.0210084033613445,"SNHG6",0.0210084033613445
0,0.0417956656346749,"ANKS4B",0.0417956656346749
0.0543478260869565,0.0651340996168582,"ZNF75A",0.119481925703815
0,0,"C15orf29",0
0.263157894736842,0.00823728410172719,"C5orf54",0.271395178838569
0,0,"BICC1",0
0.036036036036036,0.0344693432928727,"PDCD10",0.0705053793289087
0.111111111111111,0.0874143915939582,"ELAC1",0.198525502705069
0.222222222222222,0,"C20orf194",0.222222222222222
0.2,0.0961038961038961,"ALMS1",0.296103896103896
0.0244312425163489,0.00684334950852308,"AP4S1",0.031274592024872
0.71875,0.0520833333333333,"GREB1",0.770833333333333
0,0,"TAS2R50",0
0.0666666666666667,0.134126984126984,"USP6NL",0.200793650793651
0,0,"ANGPT4",0
0.0810810810810811,0,"PPAP2A",0.0810810810810811
0,0.0378037401195296,"KAL1",0.0378037401195296
0.214285714285714,0.088115763546798,"UBR5",0.302401477832512
0,0.124636531441845,"GPR55",0.124636531441845
0,0,"C1orf182",0
0.106382978723404,0.0384615384615385,"PFN4",0.144844517184943
0,0.0495169082125604,"C21orf54",0.0495169082125604
0,0,"C1orf84",0
0.092436974789916,0.293181818181818,"TBC1D22A",0.385618792971734
0,0,"AGPHD1",0
0.30989898989899,0.12753231616868,"ASPG",0.43743130606767
0,0.0619868637110016,"NOS2",0.0619868637110016
0.0729166666666667,0.0401634784968118,"ITGB4",0.113080145163478
0.307692307692308,0.0714285714285714,"ANAPC4",0.379120879120879
0.256209150326797,0.0803777714375621,"ZNF598",0.336586921764359
0,0,"FOXH1",0
0,0,"C6orf167",0
0.0428571428571429,0.0971391108891109,"CATSPER4",0.139996253746254
0,0,"SYDE2",0
0.0869565217391304,0.0105994152046784,"KIF26B",0.0975559369438088
0.102436647173489,0.021612868194275,"DHRS11",0.124049515367764
0.461538461538462,0.222222222222222,"PPAPDC3",0.683760683760684
0.244444444444444,0.0416666666666667,"TMEM200B",0.286111111111111
0,0,"DLGAP2",0
0.075,0.05,"FBXO10",0.125
0,0,"NCRNA00219",0
0.0625,0,"PHOSPHO2",0.0625
0,0,"FLJ42393",0
0,0.0210084033613445,"SNORD87",0.0210084033613445
0.133333333333333,0.19594504468454,"CLUAP1",0.329278378017874
0,0,"SLC9A7",0
0.27285373608903,0.031963963963964,"WDR55",0.304817700052994
0,0,"LOC100130691",0
0.0930232558139535,0.106489798037485,"LIME1",0.199513053851439
0,0,"LOC442308",0
