"TF","size","nes","pval","pval.fdr"
"SMAD3",33,2.93762466227744,0.00330737171671985,0.390269862572942
"RUNX1",21,2.42809250538738,0.0151784712749892,0.644462219024405
"FLI1",13,2.40023313913918,0.0163846326870612,0.644462219024405
"NFATC2",10,2.28919078734247,0.0220682696429803,0.651013954467919
"KLF4",12,2.17035648049496,0.0299798509547026,0.707524482530981
"RXRA",12,-1.93821061388519,0.0525975323553452,0.95305676175144
"HIF1A",146,1.81012936039666,0.0702757288515468,0.95305676175144
"CREB1",74,1.76525988490614,0.0775200981457595,0.95305676175144
"NR5A1",15,1.72502474890453,0.0845230124835158,0.95305676175144
"SREBF1",23,1.70549043274506,0.0881029951034754,0.95305676175144
"REL",20,-1.63503836606932,0.102041005136468,0.95305676175144
"RELA",143,1.61018753010826,0.107356922866041,0.95305676175144
"STAT3",74,1.54483667927806,0.122385772750449,0.95305676175144
"NFE2L2",11,1.47217134706358,0.140974612765099,0.95305676175144
"REST",12,1.45741845410093,0.145000906091861,0.95305676175144
"TFAP2C",15,1.43146871106303,0.152295928137344,0.95305676175144
"ESR1",155,1.40925646546242,0.158759346666078,0.95305676175144
"GATA3",70,1.34246371578114,0.179445687541227,0.95305676175144
"GATA1",15,-1.29992058615687,0.193628188653184,0.95305676175144
"CEBPD",14,-1.24329519116083,0.21375907561909,0.95305676175144
"FOXA1",30,-1.23411105602706,0.217161524273072,0.95305676175144
"HSF1",12,-1.21650066015906,0.223794259716941,0.95305676175144
"ETS2",30,1.19931192973694,0.230406678075253,0.95305676175144
"ERG",12,1.18057244247029,0.237772616410223,0.95305676175144
"FOSL2",10,-1.12614794731855,0.2601029018988,0.95305676175144
"NFIC",28,-1.05532095151883,0.2912785620578,0.95305676175144
"E2F1",313,-1.04905879375161,0.294151059600505,0.95305676175144
"PPARA",31,0.990042033374806,0.322153574346697,0.95305676175144
"STAT1",281,0.979565417162836,0.327300682673149,0.95305676175144
"MITF",34,-0.966096441165971,0.333995925178265,0.95305676175144
"BACH1",24,-0.963825305945069,0.335133517115604,0.95305676175144
"TAL1",18,-0.951727833206341,0.341235029857245,0.95305676175144
"MYC",381,-0.95113008019915,0.341538346641906,0.95305676175144
"E2F4",225,-0.946691835213034,0.343795832151972,0.95305676175144
"FOS",87,-0.944166301957915,0.345084672408233,0.95305676175144
"CEBPB",42,-0.942284124233303,0.346047193981173,0.95305676175144
"CTCF",109,0.932881926817913,0.350880934809731,0.95305676175144
"STAT4",10,-0.919692883126996,0.3577332727651,0.95305676175144
"TFDP1",12,0.900902570478788,0.367640124408837,0.95305676175144
"ATF4",15,0.89100445998298,0.372926777561298,0.95305676175144
"LEF1",22,-0.890987324406515,0.372935970435169,0.95305676175144
"FOXM1",33,-0.87689968262854,0.380541128607961,0.95305676175144
"SP3",77,0.86850627265274,0.385117239903008,0.95305676175144
"FOXP1",161,0.798644960865144,0.424496309391532,0.95305676175144
"WT1",31,-0.787049503972131,0.431252887561132,0.95305676175144
"JUN",119,-0.777299083018936,0.436982335931397,0.95305676175144
"AR",131,0.765178775781754,0.44416509624539,0.95305676175144
"PRDM14",183,0.763924029745234,0.444912516536877,0.95305676175144
"TFAP2A",62,-0.745699409637587,0.45584901589206,0.95305676175144
"STAT5B",16,0.73976727452853,0.459441219316821,0.95305676175144
"STAT5A",21,0.723792347271137,0.469193228258816,0.95305676175144
"NR3C1",10,0.719583034272284,0.471781760941285,0.95305676175144
"STAT2",38,0.705211133175511,0.480678853939257,0.95305676175144
"RARA",37,-0.698749961585784,0.484708304714475,0.95305676175144
"SMAD4",27,0.666116103946524,0.505336891963604,0.95305676175144
"RUNX3",12,-0.658339498636793,0.510320002539348,0.95305676175144
"ATF6",10,0.656208164800629,0.511690196206605,0.95305676175144
"TP63",18,-0.652123025097425,0.514321811568167,0.95305676175144
"EGR1",124,-0.645003764600365,0.518924746103332,0.95305676175144
"NFKB2",18,-0.625301482791681,0.531773206971367,0.95305676175144
"E2F2",14,-0.619390832566577,0.535658918955939,0.95305676175144
"SRF",10,-0.607333656782341,0.543629506669081,0.95305676175144
"ZEB1",15,0.592524820602,0.553499205058375,0.95305676175144
"YY1",66,0.588703369591562,0.556060277114169,0.95305676175144
"POU2F1",33,0.549851093353959,0.58242151099718,0.95305676175144
"ETV4",15,0.534453772632471,0.593027624256985,0.95305676175144
"FOXA2",11,-0.533240160843482,0.59386734421554,0.95305676175144
"TWIST1",15,0.530979241158676,0.595433164450373,0.95305676175144
"RFX5",14,0.525809973956554,0.599020243916575,0.95305676175144
"ESR2",16,0.516185832643106,0.60572462422383,0.95305676175144
"CEBPA",143,-0.512381830579841,0.608383804640379,0.95305676175144
"IRF9",12,0.476616533472726,0.633635207952826,0.95305676175144
"TCF7L2",19,-0.468777522258817,0.639228668325228,0.95305676175144
"RFXANK",12,0.447400826210985,0.654585679379474,0.95305676175144
"GLI2",16,0.44327706611177,0.657565342011663,0.95305676175144
"HNF4A",82,-0.441612238050137,0.658769826628055,0.95305676175144
"SOX10",16,0.441605977524922,0.658774357722126,0.95305676175144
"ATF2",24,0.440966888746691,0.659236968086154,0.95305676175144
"ZBTB33",12,0.438452064342232,0.661058611748526,0.95305676175144
"NFYA",10,-0.430703211363986,0.666684183490447,0.95305676175144
"TCF3",14,0.426159498458519,0.669991627638804,0.95305676175144
"NFKB1",163,-0.408422411104911,0.682963582765202,0.95305676175144
"IRF1",32,0.403612367063373,0.686497790035279,0.95305676175144
"RFXAP",12,0.395509261659348,0.692467087826156,0.95305676175144
"USF2",38,-0.394935428789388,0.69289054249596,0.95305676175144
"SOX2",253,0.39261928898786,0.694600690767998,0.95305676175144
"SREBF2",16,0.361043747199618,0.718066744035664,0.97392960685297
"FOXL2",23,0.334600226357263,0.737926674136075,0.979079790720513
"CDX2",17,0.31501686787308,0.752748846706216,0.979079790720513
"FOXO4",14,-0.314699183986609,0.752990063882953,0.979079790720513
"TP53",241,0.295599498602882,0.767535956588466,0.979079790720513
"EPAS1",12,-0.285837923543677,0.775002260565538,0.979079790720513
"SP1",319,0.231920689831999,0.81659961443754,0.979079790720513
"RELB",13,0.227236917052861,0.820239522786666,0.979079790720513
"SPI1",102,0.222598670665171,0.823847871149502,0.979079790720513
"SOX9",13,0.20493526464669,0.837622702699088,0.979079790720513
"ZNF263",301,0.202271800482013,0.839704244267465,0.979079790720513
"ARNTL",10,0.200009512218288,0.841473141761941,0.979079790720513
"E2F3",13,0.198364324460121,0.842760027755042,0.979079790720513
"PAX6",13,0.190783762153177,0.848695010936969,0.979079790720513
"ETS1",143,0.187039090364616,0.851629984053643,0.979079790720513
"HNF1A",25,-0.17055610569928,0.864572814674353,0.979079790720513
"USF1",59,0.16340801899827,0.870197189500038,0.979079790720513
"PGR",11,-0.159913554627196,0.872949170882682,0.979079790720513
"MYCN",13,0.139757459519265,0.888851625718117,0.979079790720513
"JUND",19,-0.137351830338845,0.890752703918042,0.979079790720513
"ATF1",20,-0.132667260782594,0.894456536051484,0.979079790720513
