"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ID"
"C12orf48",-2.04484841428571,-5.45081064705882,-3.6956638841999,0.000553100425174879,0.597749231939893,-1.59763304784207,"C12orf48"
"PTPLAD2",-2.56744716428571,1.28191550784314,-3.67750399136222,0.000584800375619169,0.597749231939893,-1.62598333202002,"PTPLAD2"
"KIF17",-3.76252410714286,-0.392803341176471,-3.67509203091697,0.000589139598579619,0.597749231939893,-1.62974494721216,"KIF17"
"C1orf182",-3.00891327142857,-3.37238430392157,-3.6363571775058,0.000663201055123172,0.597749231939893,-1.69002978344883,"C1orf182"
"IGFL4",-2.71629035714285,-4.71004678431373,-3.61900970013836,0.000699189508634187,0.597749231939893,-1.71695088979008,"IGFL4"
"C14orf68",-2.81079415714286,-4.70666815686275,-3.61429478279091,0.000709289641970509,0.597749231939893,-1.72425939900794,"C14orf68"
"SCN7A",-3.65975004928571,-2.26867722156863,-3.61369574259712,0.000710582843418423,0.597749231939893,-1.72518770013281,"SCN7A"
"SPATA16",-2.63984388571428,-5.90664054901961,-3.59644260068226,0.000748812465995464,0.597749231939893,-1.75189862084366,"SPATA16"
"PFN4",-2.47730818285714,-2.33100842333333,-3.59557257243001,0.000750791510424208,0.597749231939893,-1.75324427277913,"PFN4"
"TSPAN1",-2.81207453814286,-2.02630263313725,-3.57797164367947,0.000791919506425468,0.597749231939893,-1.78043999286839,"TSPAN1"
"C6orf167",-2.06802098285714,-2.30838244705882,-3.57536584195715,0.000798188656387003,0.597749231939893,-1.78446185911799,"C6orf167"
"HTR3B",-2.6254133,-6.58846754901961,-3.56112035618906,0.00083330868681436,0.597749231939893,-1.80642830520718,"HTR3B"
"SLC6A10P",-3.37636151942857,-2.34346542784314,-3.54540346052415,0.000873769087321008,0.597749231939893,-1.83062319443184,"SLC6A10P"
"SPACA4",-1.97067099999999,-6.97246519607843,-3.54522343755132,0.000874243221440951,0.597749231939893,-1.83090007717764,"SPACA4"
"MFSD6",-2.38306449,-0.688534878431373,-3.51379493641568,0.000960893561607387,0.635801572119056,-1.87915111528488,"MFSD6"
"MAPK4",1.3369633857143,-7.28518376470588,3.4879127144567,0.00103834867289572,0.651582704723292,-1.91875465577046,"MAPK4"
"PADI6",-3.73332659428571,-3.80873873411765,-3.48472964529849,0.00104827560724789,0.651582704723292,-1.92361680580541,"PADI6"
"ALPK3",-2.70748711554966,-0.0270830848331429,-3.46718745224666,0.0011046277012371,0.666415394346334,-1.95037910734874,"ALPK3"
"CATSPER4",-2.21265786571429,-0.0384626088235294,-3.41199752553919,0.00130134818937903,0.756737535115427,-2.03419938596111,"CATSPER4"
"C1orf85",-1.6200092,-7.1034048627451,-3.39887022028425,0.00135282211286147,0.756737535115427,-2.05405035544068,"C1orf85"
"MMP16",-2.78958833428571,-0.736609250196078,-3.38951337692306,0.00139068678321034,0.756737535115427,-2.06817901612683,"MMP16"
"KRTAP17-1",-1.2926686,-7.29842805882353,-3.36841446141654,0.00147979765875465,0.756737535115427,-2.09997417003922,"KRTAP17-1"
"RGS22",-1.436406409,-1.61175457078431,-3.36321994927004,0.00150255418868247,0.756737535115427,-2.10778838440721,"RGS22"
"PAX4",2.24953517142857,-6.4061048627451,3.35739303012224,0.00152847649970534,0.756737535115427,-2.11654745089976,"PAX4"
"UPK3A",-2.88350574285714,-2.86704533529412,-3.3554712649686,0.00153711857710237,0.756737535115427,-2.11943475188517,"UPK3A"
"NPTX1",-3.29400944285714,-4.61321717647059,-3.34462755230024,0.00158675780247392,0.756737535115427,-2.1357124724652,"NPTX1"
"CC2D2A",-1.45807585857143,1.71250118980392,-3.33801767638061,0.00161775790092108,0.756737535115427,-2.14562288002917,"CC2D2A"
"SIGLEC5",-1.89268779428571,-1.24825140352941,-3.33262388286968,0.00164347937245552,0.756737535115427,-2.1537033062014,"SIGLEC5"
"TNIP2",-3.29147504571428,-2.00852032156863,-3.32168334619875,0.00169684750762167,0.756737535115427,-2.17007477903371,"TNIP2"
"IL5",-3.66501621285714,-0.341335303333333,-3.31414527060894,0.00173456979703422,0.756737535115427,-2.18134027551074,"IL5"
"CAPN3",-1.57293415714286,6.01119152941176,-3.31116983319699,0.00174967721330221,0.756737535115427,-2.18578372681467,"CAPN3"
"PLEKHA8",-1.82674302857143,0.628759628039216,-3.30704310031245,0.00177083666563673,0.756737535115427,-2.19194341468716,"PLEKHA8"
"CCL24",-4.20815191142857,-0.459011393333333,-3.28684165960332,0.00187796211168294,0.764769175710396,-2.22204466803142,"CCL24"
"EPX",-3.79632141428572,3.70131902745098,-3.28370950188612,0.00189511108170248,0.764769175710396,-2.22670396382765,"EPX"
"C3orf17",-3.11123385714285,-5.90887903921569,-3.28255246407202,0.00190148342244687,0.764769175710396,-2.22842460336866,"C3orf17"
"PMFBP1",-1.56918567285715,1.9139584245098,-3.25992969040071,0.00203022672014433,0.771869983198441,-2.26200902412153,"PMFBP1"
"LOC388152",-2.8893734,-4.27365091372549,-3.25544489288607,0.00205670954609371,0.771869983198441,-2.26865367262563,"LOC388152"
"TMPRSS2",-1.5910888,-7.08512943137255,-3.25368851041293,0.00206716975271311,0.771869983198441,-2.27125471826407,"TMPRSS2"
"FAM194A",-1.77358345028571,-1.60288854784314,-3.25126813459135,0.00208166682801125,0.771869983198441,-2.27483796991467,"FAM194A"
"PPP1R1A",-2.84811378571428,-5.37791598039216,-3.24299539977802,0.0021319460943492,0.771869983198441,-2.28707562946886,"PPP1R1A"
"CHRNA4",-2.07011415714285,-6.87784547058824,-3.24089074146037,0.00214491951259317,0.771869983198441,-2.29018659016166,"CHRNA4"
"LMAN1",-2.57323163142857,-4.01766554705882,-3.23024808306653,0.00221167256917025,0.782169443772763,-2.30590278676569,"LMAN1"
"FOXH1",-2.19748431428571,-2.87120548039216,-3.21803373677858,0.0022907007374092,0.792193182370267,-2.32390877312498,"FOXH1"
"ENTPD7",-1.56158875714286,4.16228388235294,-3.20106006363877,0.00240495727588048,0.792193182370267,-2.34887500339767,"ENTPD7"
"CSRP1",-3.37823660857142,-5.68739454509804,-3.19402253593927,0.00245388872851926,0.792193182370267,-2.3592071653297,"CSRP1"
"RAB11FIP2",-1.01124628571429,6.07846652941176,-3.19239910102313,0.00246530887689937,0.792193182370267,-2.36158900819945,"RAB11FIP2"
"AGPHD1",-2.53742697275293,-2.5232891292307,-3.18799673984445,0.00249653028687609,0.792193182370267,-2.36804494696249,"AGPHD1"
"AQPEP",-2.68110442523498,-3.48401007701742,-3.185074639525,0.00251745916660177,0.792193182370267,-2.37232766657311,"AQPEP"
"ADAL",-2.31097967501953,-6.43242419612425,-3.18491848965576,0.00251858219693406,0.792193182370267,-2.37255646929389,"ADAL"
"TARS",-1.66151315714286,5.40560690196078,-3.18039186912556,0.00255134368510683,0.792193182370267,-2.37918677644284,"TARS"
"TNFAIP6",-2.86318506857143,1.37391620862745,-3.17047179121724,0.00262455026344178,0.792193182370267,-2.39370050464015,"TNFAIP6"
"SNORD115-40",1.47500652857143,-7.21966190196078,3.16441081559414,0.00267024724179208,0.792193182370267,-2.40255685691813,"SNORD115-40"
"C9orf116",-1.1901342,-7.30084688235294,-3.16384752499032,0.00267453204281199,0.792193182370267,-2.40337950701419,"C9orf116"
"OSTBETA",-1.49055052357143,-0.0873086771372549,-3.15298788473847,0.00275841494101964,0.792193182370267,-2.4192247941918,"OSTBETA"
"SERPIND1",-2.11529838142857,-2.39145638784314,-3.15006133005351,0.00278144057861001,0.792193182370267,-2.42349018622181,"SERPIND1"
"CHGB",-3.02782874999999,-5.09553969607843,-3.14540486628671,0.00281845012661434,0.792193182370267,-2.43027271852124,"CHGB"
"C20orf194",1.65265677142858,-7.03814209803922,3.14314112745412,0.00283660926039033,0.792193182370267,-2.43356819274129,"C20orf194"
"TESK2",-3.60806188428571,-1.23326283686275,-3.14049797953744,0.00285795122344968,0.792193182370267,-2.43741446093326,"TESK2"
"NLGN1",3.45411935714286,-5.5266756745098,3.13072628178699,0.00293817110654508,0.803570209832701,-2.45161966173288,"NLGN1"
"ANGPT4",-1.26590797604783,0.89395101025113,-3.1132532268742,0.00308691799235954,0.833142919201039,-2.47696341090675,"ANGPT4"
"CCDC68",-2.86283946285714,-5.79136095686274,-3.10061084837894,0.00319892326411873,0.835431795500741,-2.49525453841499,"CCDC68"
"IQCK",-2.54863234328571,-0.578606604313725,-3.10058447472472,0.00319916086186823,0.835431795500741,-2.49529265547727,"IQCK"
"UCN3",-0.889233699999997,-7.37711374509804,-3.09854490826742,0.00321758540583846,0.835431795500741,-2.49823986660759,"UCN3"
"CACNB3",1.21782578285714,2.62686193333333,3.09173268454354,0.00327984881707243,0.840953236697371,-2.50807628619902,"CACNB3"
"RPGRIP1",-0.939497685714287,5.28131533333333,-3.07088354126571,0.00347750972026771,0.872783708415746,-2.53811018728272,"RPGRIP1"
"SNPH",-1.23764725371428,-1.35798164352941,-3.06969656999054,0.00348909243808947,0.872783708415746,-2.53981682205033,"SNPH"
"CCDC84",-2.2392913,-5.60272511764706,-3.0531623220232,0.00365424538332595,0.894927694490211,-2.56355329266443,"CCDC84"
"C14orf167",-2.58557574285714,-5.29710268627451,-3.05037941450775,0.00368275281391164,0.894927694490211,-2.56754167838857,"C14orf167"
"TNFSF12-TNFSF13",-2.31971745928571,-0.322620202156863,-3.04788277626916,0.00370850497424278,0.894927694490211,-2.57111813051693,"TNFSF12-TNFSF13"
"C15orf29",-2.26844394285714,-5.11032294117647,-3.03770075844859,0.00381528683337881,0.909990273561235,-2.58568762790152,"C15orf29"
"TMEM149",-3.04983107142857,-5.70316252941176,-3.0169557910503,0.00404181366606919,0.932032986357353,-2.6152900316907,"TMEM149"
"FNDC5",-1.53204949285714,-2.19771363921569,-3.00779424882425,0.00414580751892288,0.932032986357353,-2.62832808467544,"FNDC5"
"OR8G5",-1.95459909999999,-6.92870594117647,-3.00398262796798,0.00418980640691807,0.932032986357353,-2.63374611809282,"OR8G5"
"ALMS1",-2.08078670880449,-1.56004324203157,-2.99990099508436,0.00423740595133807,0.932032986357353,-2.63954378010536,"ALMS1"
"LOC401093",-1.41366702857143,-0.339599819607843,-2.99864103788683,0.0042522012279912,0.932032986357353,-2.64133258252657,"LOC401093"
"LOC100132287",-5.3518503,-3.79730401568627,-2.99380373764113,0.00430945380228184,0.932032986357353,-2.64819641332221,"LOC100132287"
"DEFB103B",-6.22619879142857,-2.77702637058824,-2.98577192666033,0.00440610900872112,0.932032986357353,-2.65957955225606,"DEFB103B"
"RIPK4",-0.964124071428575,3.533802,-2.9856173793014,0.00440798854424328,0.932032986357353,-2.65979841979548,"RIPK4"
"SLC12A6",-3.1855499,-3.15433127843137,-2.97720380879815,0.0045114480466123,0.932032986357353,-2.67170410871159,"SLC12A6"
"ITGAE",-1.87726689142858,3.12314696666667,-2.9717196740329,0.00458010089075196,0.932032986357353,-2.67945442741744,"ITGAE"
"ABCC6P1",-1.94054109351083,3.15985710064532,-2.96745952312097,0.00463410301616661,0.932032986357353,-2.68546948714244,"ABCC6P1"
"ELAC1",-0.663065374285715,0.836608820980392,-2.96297840295775,0.00469154699632354,0.932032986357353,-2.69179134211101,"ELAC1"
"FAM3B",-3.05039870699999,-5.65960738686274,-2.95824852001114,0.00475290014082013,0.932032986357353,-2.69845834688716,"FAM3B"
"FAM89A",3.09842235542857,-1.99003598137255,2.95714435036403,0.00476733010362685,0.932032986357353,-2.70001386961444,"FAM89A"
"TLL1",-3.09921890714285,-4.4855722254902,-2.95697855079228,0.00476950039888928,0.932032986357353,-2.70024741520684,"TLL1"
"FBXL20",-1.985078627,-0.395795718098039,-2.9559656222638,0.00478277952942896,0.932032986357353,-2.70167406874157,"FBXL20"
"HELLS",-1.46500475714286,4.34653337254902,-2.95018033762221,0.00485928574721813,0.932032986357353,-2.70981705857009,"HELLS"
"IL1A",-3.29460248,-3.50118867058824,-2.94722120278542,0.00489885781968347,0.932032986357353,-2.71397867510891,"IL1A"
"TTC21B",-1.15318854571429,1.18168419607843,-2.94213076228339,0.00496763521651238,0.932032986357353,-2.7211321715575,"TTC21B"
"C1R",-2.18012862528571,-1.92293945882353,-2.93795566139968,0.00502471601629122,0.932032986357353,-2.72699414564446,"C1R"
"WDR55",-0.963572957142864,4.21654233333333,-2.93657325393179,0.00504375018616801,0.932032986357353,-2.72893405195319,"WDR55"
"GGT1",-1.36167198571429,4.53551290392157,-2.93484165760104,0.00506768706709589,0.932032986357353,-2.73136323906136,"GGT1"
"ASPHD2",-2.23288124285714,-3.28376617568627,-2.93332634218345,0.00508872095913005,0.932032986357353,-2.7334883482361,"ASPHD2"
"KIF1B",-0.976766171428581,6.95024439215686,-2.9296617879682,0.00513992477438164,0.932032986357353,-2.73862502018963,"KIF1B"
"VSIG4",-1.48361982942857,-1.05460152529412,-2.92473384425042,0.00520953836055829,0.932032986357353,-2.74552685576094,"VSIG4"
"PPP1R3A",0.983838385714292,-7.42840888235294,2.92267933245752,0.00523881949143686,0.932032986357353,-2.74840235092184,"PPP1R3A"
